B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1272,1068,1016,1231,1449,1711,1340,1734,2073,1598,200000,201609,114.30602407669151,22.77862731790379,5
1615,1508,1540,1558,1847,2215,1764,2429,2144,1540,560000,201610,114.30602407669151,22.77862731790379,5
1471,1313,1277,1272,1577,1760,1531,1874,1753,1402,180000,201611,114.30602407669151,22.77862731790379,5
1647,1401,1338,1259,1569,1693,1508,1807,1724,1384,480000,201612,114.30602407669151,22.77862731790379,5
1380,1222,1074,1147,1298,1479,1196,1653,1521,1096,430000,201701,114.30602407669151,22.77862731790379,5
1626,1467,1345,1394,1562,1715,1592,1840,1787,1475,580000,201702,114.30602407669151,22.77862731790379,5
1553,1408,1347,1388,1599,1758,1655,1876,1846,1517,-100,201703,114.30602407669151,22.77862731790379,5
1480,1350,1350,1382,1637,1802,1719,1913,1906,1560,80000,201704,114.30602407669151,22.77862731790379,5
2024,1797,1671,1719,2202,2523,2138,2721,2020,1564,700000,201705,114.30602407669151,22.77862731790379,5
1650,1443,1276,1324,1655,1937,1624,2049,1603,1186,-100,201706,114.30602407669151,22.77862731790379,5
1277,1089,881,930,1109,1351,1111,1377,1186,808,370000,201707,114.30602407669151,22.77862731790379,5
1455,1302,1233,1741,2111,2434,1611,2656,2755,2084,290000,201708,114.30602407669151,22.77862731790379,5
1476,1237,1301,1244,1417,1719,1502,1968,2015,1666,100000,201709,114.30602407669151,22.77862731790379,5
1519,1282,1186,1263,1502,1707,1482,1850,1722,1202,460000,201710,114.30602407669151,22.77862731790379,5
1547,1375,1400,1260,1565,1771,1584,1887,1778,1405,350000,201711,114.30602407669151,22.77862731790379,5
1532,1312,1290,1394,1479,1668,1515,1807,1750,1451,230000,201712,114.30602407669151,22.77862731790379,5
1498,1286,1233,1248,1495,1661,1422,1865,1699,1393,230000,201801,114.30602407669151,22.77862731790379,5
1698,1467,1448,1497,1615,1826,1611,1930,1868,1406,560000,201802,114.30602407669151,22.77862731790379,5
1351,1273,1220,1368,1607,1829,1685,1890,1902,1653,90000,201803,114.30602407669151,22.77862731790379,5
