B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1737,1766,1911,1797,2028,2173,1968,2356,2460,2119,110000,201609,114.29319356810603,22.72239474507244,5
1722,1813,1911,1973,1976,2233,1821,2266,2420,1971,110000,201610,114.29319356810603,22.72239474507244,5
1771,1603,1687,1660,1865,2050,1827,2095,2145,1850,150000,201611,114.29319356810603,22.72239474507244,5
1658,1500,1464,1518,1628,1791,1618,1794,1875,1590,320000,201612,114.29319356810603,22.72239474507244,5
1584,1436,1445,1528,1618,1709,1618,1761,1813,1543,370000,201701,114.29319356810603,22.72239474507244,5
1742,1572,1605,1601,1832,1873,1767,1952,1946,1800,110000,201702,114.29319356810603,22.72239474507244,5
1754,1661,1737,1811,1991,2106,1905,2166,2195,2064,-100,201703,114.29319356810603,22.72239474507244,5
1767,1750,1870,2022,2150,2339,2043,2381,2445,2328,20000,201704,114.29319356810603,22.72239474507244,5
1949,1902,1975,2079,2305,2463,2248,2515,2586,2354,-100,201705,114.29319356810603,22.72239474507244,5
2131,2054,2080,2137,2461,2587,2453,2649,2727,2380,-100,201706,114.29319356810603,22.72239474507244,5
2314,2206,2186,2195,2617,2712,2659,2784,2869,2407,650000,201707,114.29319356810603,22.72239474507244,5
1951,1912,2119,2241,2433,2669,2356,2847,3074,2600,90000,201708,114.29319356810603,22.72239474507244,5
1512,1503,1699,1632,1903,2047,1771,2173,2213,1932,140000,201709,114.29319356810603,22.72239474507244,5
1676,1532,1624,1542,1612,1879,1822,1927,1936,1620,250000,201710,114.29319356810603,22.72239474507244,5
1625,1605,1703,1545,1590,1810,1675,1801,1794,1553,190000,201711,114.29319356810603,22.72239474507244,5
1625,1499,1513,1487,1729,1676,1542,1780,1706,1593,560000,201712,114.29319356810603,22.72239474507244,5
1539,1368,1424,1515,1729,1701,1605,1762,1813,1648,50000,201801,114.29319356810603,22.72239474507244,5
1852,1694,1773,1719,1899,2048,1890,2087,1989,1625,230000,201802,114.29319356810603,22.72239474507244,5
1520,1533,1787,1799,1908,2160,1879,2141,2163,2020,90000,201803,114.29319356810603,22.72239474507244,5
1903,1729,1739,1734,1899,2178,1894,2226,2174,1874,500000,201804,114.29319356810603,22.72239474507244,5
2034,2138,2420,2368,2665,2950,2625,3000,3164,2741,150000,201805,114.29319356810603,22.72239474507244,5
1855,1913,2226,2341,2446,2696,2415,2677,2787,2506,20000,201806,114.29319356810603,22.72239474507244,5
1729,1754,1878,1966,2043,2483,2083,2557,2602,2108,100000,201807,114.29319356810603,22.72239474507244,5
1865,1865,2012,2083,2263,2600,2204,2741,2684,2249,110000,201808,114.29319356810603,22.72239474507244,5
1359,1196,1036,1045,1072,1151,927,1137,875,582,20000,201809,114.29319356810603,22.72239474507244,5
1615,1593,1703,1644,1775,1865,1782,1870,1837,1601,80000,201810,114.29319356810603,22.72239474507244,5
1622,1475,1445,1509,1567,1739,1458,1675,1795,1507,120000,201811,114.29319356810603,22.72239474507244,5
1370,1252,1274,1354,1324,1586,1353,1582,1596,1331,110000,201812,114.29319356810603,22.72239474507244,5
1744,1605,1547,1528,1593,1739,1579,1781,1678,1468,220000,201901,114.29319356810603,22.72239474507244,5
1787,1596,1568,1576,1784,1855,1792,1848,1823,1418,230000,201902,114.29319356810603,22.72239474507244,5
1781,1608,1542,1608,1885,1952,1774,2092,2048,1741,230000,201903,114.29319356810603,22.72239474507244,5
2065,1743,1736,1773,1933,2136,1960,2131,2183,1885,390000,201904,114.29319356810603,22.72239474507244,5
1612,1549,1757,1850,2176,2319,1978,2521,2541,2190,40000,201905,114.29319356810603,22.72239474507244,5
1738,1666,1802,1828,2173,2335,2026,2482,2456,2044,-100,201906,114.29319356810603,22.72239474507244,5
1865,1784,1848,1806,2170,2351,2074,2443,2372,1899,360000,201907,114.29319356810603,22.72239474507244,5
1747,1695,1856,1778,2061,2209,2036,2267,2274,1922,-100,201908,114.29319356810603,22.72239474507244,5
1629,1607,1865,1751,1953,2068,1999,2092,2176,1945,70000,201909,114.29319356810603,22.72239474507244,5
1661,1552,1560,1529,1726,1820,1671,1962,1940,1598,330000,201910,114.29319356810603,22.72239474507244,5
1704,1615,1550,1699,1765,1955,1716,1944,1926,1630,270000,201911,114.29319356810603,22.72239474507244,5
1426,1460,1540,1431,1598,1584,1520,1732,1685,1454,140000,201912,114.29319356810603,22.72239474507244,5
1573,1601,1797,1678,1754,1849,1867,1817,1830,1747,10000,202001,114.29319356810603,22.72239474507244,5
1712,1569,1655,1647,1799,2022,1860,2024,1989,1695,210000,202002,114.29319356810603,22.72239474507244,5
1616,1589,1806,1691,1848,2029,1822,2052,2092,1823,110000,202003,114.29319356810603,22.72239474507244,5
1863,1995,2212,2157,2409,2385,2307,2508,2526,2383,20000,202004,114.29319356810603,22.72239474507244,5
1678,1622,1768,1711,1865,2042,1882,2274,2113,1715,240000,202005,114.29319356810603,22.72239474507244,5
1162,922,811,721,816,891,747,895,640,466,40000,202006,114.29319356810603,22.72239474507244,5
1931,1865,2110,1918,2261,2358,2206,2596,2534,2080,130000,202007,114.29319356810603,22.72239474507244,5
1421,1192,1048,1026,1229,1244,949,1346,857,726,110000,202008,114.29319356810603,22.72239474507244,5
1838,1692,1729,1717,1941,2243,1921,2296,2365,1870,570000,202009,114.29319356810603,22.72239474507244,5
1531,1417,1448,1495,1633,1865,1635,1901,1955,1579,110000,202010,114.29319356810603,22.72239474507244,5
1552,1582,1647,1729,1848,1902,1935,2007,1967,1729,70000,202011,114.29319356810603,22.72239474507244,5
1563,1401,1455,1463,1606,1646,1531,1671,1671,1414,140000,202012,114.29319356810603,22.72239474507244,5
1514,1449,1360,1392,1519,1539,1477,1595,1620,1382,60000,202101,114.29319356810603,22.72239474507244,5
1442,1286,1458,1520,1558,1617,1443,1685,1773,1554,50000,202102,114.29319356810603,22.72239474507244,5
1589,1406,1405,1525,1678,1831,1563,1880,1907,1581,250000,202103,114.29319356810603,22.72239474507244,5
1868,1845,1991,1999,2241,2343,2156,2430,2509,2165,50000,202104,114.29319356810603,22.72239474507244,5
1896,1916,2111,2267,2165,2617,2154,2575,2643,2165,30000,202105,114.29319356810603,22.72239474507244,5
1855,1797,1981,1908,2113,2293,2039,2362,2244,1807,60000,202106,114.29319356810603,22.72239474507244,5
2057,2057,2273,2256,2467,2685,2541,2837,2847,2485,40000,202107,114.29319356810603,22.72239474507244,5
1764,1664,1764,1746,1979,2412,1954,2431,2370,1785,410000,202108,114.29319356810603,22.72239474507244,5
1870,1767,1884,1899,2105,2359,2002,2460,2585,2059,230000,202109,114.29319356810603,22.72239474507244,5
1675,1709,1882,1768,1981,2080,1857,2237,2158,1845,60000,202110,114.29319356810603,22.72239474507244,5
1616,1399,1739,1750,1729,1951,1797,1898,1937,1710,30000,202111,114.29319356810603,22.72239474507244,5
1591,1424,1570,1404,1627,1607,1572,1765,1678,1563,80000,202112,114.29319356810603,22.72239474507244,5
