B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
927,821,509,818,2450,3153,3000,3518,1409,484,40000,201609,114.32447159250712,22.75258324737613,2
999,886,537,902,2793,3715,3494,3993,1630,577,160000,201610,114.32447159250712,22.75258324737613,2
1069,884,571,832,2184,2831,2673,3127,1322,477,190000,201611,114.32447159250712,22.75258324737613,2
1118,927,601,935,2381,3024,2886,3321,1412,565,220000,201612,114.32447159250712,22.75258324737613,2
1008,826,521,816,2255,2915,2790,3204,1359,526,170000,201701,114.32447159250712,22.75258324737613,2
1293,1054,764,1031,2216,2710,2718,2987,1447,638,340000,201702,114.32447159250712,22.75258324737613,2
1162,972,691,999,2337,2876,2845,3157,1583,729,-100,201703,114.32447159250712,22.75258324737613,2
1031,890,618,968,2458,3043,2972,3328,1719,820,90000,201704,114.32447159250712,22.75258324737613,2
1050,928,632,996,2565,3208,3059,3547,1700,786,-100,201705,114.32447159250712,22.75258324737613,2
1069,966,647,1025,2672,3373,3146,3766,1682,752,-100,201706,114.32447159250712,22.75258324737613,2
1088,1004,662,1054,2779,3538,3233,3985,1664,718,-100,201707,114.32447159250712,22.75258324737613,2
1108,1043,677,1083,2886,3703,3321,4205,1646,684,140000,201708,114.32447159250712,22.75258324737613,2
998,858,605,808,2044,2722,2353,3026,1561,621,90000,201709,114.32447159250712,22.75258324737613,2
1169,1090,835,1095,2278,2970,2847,3227,1630,798,200000,201710,114.32447159250712,22.75258324737613,2
1120,1033,853,1032,2225,2773,2647,3165,1581,757,220000,201711,114.32447159250712,22.75258324737613,2
1209,1026,760,1036,2208,2653,2385,2997,1387,666,240000,201712,114.32447159250712,22.75258324737613,2
1059,912,665,994,2187,2627,2595,2988,1466,672,210000,201801,114.32447159250712,22.75258324737613,2
1341,1131,869,1166,2132,2534,2364,2836,1562,712,250000,201802,114.32447159250712,22.75258324737613,2
1002,915,670,989,2039,2318,2153,2547,1377,678,120000,201803,114.32447159250712,22.75258324737613,2
1607,1416,1146,1311,2218,2731,2520,2985,1752,842,580000,201804,114.32447159250712,22.75258324737613,2
1103,1159,721,1291,2955,3627,3572,4127,2193,995,130000,201805,114.32447159250712,22.75258324737613,2
1065,1035,675,1173,2607,3229,3081,3565,1945,922,120000,201806,114.32447159250712,22.75258324737613,2
1220,1136,772,1213,2746,3594,3369,3968,1883,750,330000,201807,114.32447159250712,22.75258324737613,2
