B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
943,901,569,857,2351,2962,3047,3374,1427,527,40000,201609,114.4295478092122,22.72704707941709,2
1081,1009,648,1026,2592,3147,3155,3587,1596,621,350000,201610,114.4295478092122,22.72704707941709,2
1216,1077,796,1071,2195,2715,2640,2984,1341,539,240000,201611,114.4295478092122,22.72704707941709,2
1092,980,667,985,2178,2662,2666,3004,1405,567,230000,201612,114.4295478092122,22.72704707941709,2
1077,965,680,1009,2028,2478,2338,2787,1364,590,200000,201701,114.4295478092122,22.72704707941709,2
1341,1186,934,1204,2211,2595,2502,2844,1559,754,330000,201702,114.4295478092122,22.72704707941709,2
1226,1108,835,1180,2320,2721,2730,3010,1693,823,-100,201703,114.4295478092122,22.72704707941709,2
1112,1031,736,1156,2429,2848,2959,3177,1828,892,100000,201704,114.4295478092122,22.72704707941709,2
2186,2150,2127,2241,3338,3875,3501,4171,3152,1936,760000,201705,114.4295478092122,22.72704707941709,2
1533,1433,1273,1411,2335,2814,2622,3038,1849,1071,-100,201706,114.4295478092122,22.72704707941709,2
880,716,420,582,1332,1753,1744,1905,546,207,150000,201707,114.4295478092122,22.72704707941709,2
994,972,616,1011,2788,3481,3484,3820,1491,623,110000,201708,114.4295478092122,22.72704707941709,2
1034,949,628,975,2365,3136,3054,3421,1407,537,130000,201709,114.4295478092122,22.72704707941709,2
1197,1095,775,1079,2377,2995,3118,3276,1341,537,300000,201710,114.4295478092122,22.72704707941709,2
1104,1050,690,1023,2326,2987,3197,3221,1451,649,220000,201711,114.4295478092122,22.72704707941709,2
1308,1157,859,1176,2295,2816,2928,3015,1381,623,400000,201712,114.4295478092122,22.72704707941709,2
1081,983,709,1011,2146,2523,2620,2811,1396,703,320000,201801,114.4295478092122,22.72704707941709,2
1417,1268,1029,1313,2293,2721,2600,3066,1681,782,430000,201802,114.4295478092122,22.72704707941709,2
1034,976,750,1093,2246,2562,2667,2766,1524,792,110000,201803,114.4295478092122,22.72704707941709,2
1723,1590,1429,1606,2359,2782,2616,3036,1985,1074,650000,201804,114.4295478092122,22.72704707941709,2
821,619,374,388,752,958,798,929,271,117,100000,201805,114.4295478092122,22.72704707941709,2
1098,1042,690,1125,3064,3983,3891,4349,1760,702,240000,201806,114.4295478092122,22.72704707941709,2
1056,993,634,1011,3119,4083,3834,4472,1572,570,200000,201807,114.4295478092122,22.72704707941709,2
1118,1223,971,1523,3212,3892,3943,4270,2306,1393,360000,201808,114.4295478092122,22.72704707941709,2
1070,949,688,974,2176,2960,2785,3262,1623,718,190000,201809,114.4295478092122,22.72704707941709,2
968,872,557,935,2309,2848,3149,3186,1489,680,170000,201810,114.4295478092122,22.72704707941709,2
1185,1044,752,971,2352,2894,2890,3269,1505,651,340000,201811,114.4295478092122,22.72704707941709,2
922,815,522,752,2012,2582,2691,2723,1170,451,90000,201812,114.4295478092122,22.72704707941709,2
1350,1188,940,1161,2270,2628,2742,2856,1502,707,440000,201901,114.4295478092122,22.72704707941709,2
1454,1282,1042,1246,2231,2586,2610,2815,1616,770,-100,201902,114.4295478092122,22.72704707941709,2
1558,1377,1145,1332,2192,2544,2478,2774,1731,833,550000,201903,114.4295478092122,22.72704707941709,2
1492,1268,952,1039,1773,2046,1752,2091,713,320,760000,201904,114.4295478092122,22.72704707941709,2
1152,1094,728,1153,3009,3730,3525,4133,2012,843,190000,201905,114.4295478092122,22.72704707941709,2
941,876,554,908,2707,3457,3199,3878,1535,581,60000,201906,114.4295478092122,22.72704707941709,2
1048,1017,865,1118,2434,3006,2837,3417,2011,1079,-100,201907,114.4295478092122,22.72704707941709,2
1155,1158,1177,1328,2162,2556,2475,2957,2487,1577,-100,201908,114.4295478092122,22.72704707941709,2
1262,1300,1489,1539,1890,2106,2113,2497,2964,2076,20000,201909,114.4295478092122,22.72704707941709,3
1438,1385,1429,1613,2288,2609,2374,2894,3079,1888,170000,201910,114.4295478092122,22.72704707941709,3
1537,1503,1438,1795,2644,2892,2816,3245,2902,1780,600000,201911,114.4295478092122,22.72704707941709,3
1258,1292,1231,1550,2278,2636,2428,2926,2393,1492,40000,201912,114.4295478092122,22.72704707941709,3
1174,1180,1091,1583,2343,2617,2490,2844,2422,1548,80000,202001,114.4295478092122,22.72704707941709,3
1407,1399,1243,1642,2411,2767,2623,3085,2599,1526,360000,202002,114.4295478092122,22.72704707941709,3
1275,1302,1162,1486,2321,2640,2502,2935,2432,1451,80000,202003,114.4295478092122,22.72704707941709,3
1185,1325,1108,1618,2879,3249,3101,3507,2535,1457,80000,202004,114.4295478092122,22.72704707941709,3
1381,1435,1266,1611,2516,2972,2731,3246,2436,1402,240000,202005,114.4295478092122,22.72704707941709,3
972,931,602,1051,1774,1981,1719,2319,1111,505,30000,202006,114.4295478092122,22.72704707941709,3
1271,1250,1128,1422,2363,2902,2812,3393,2600,1312,160000,202007,114.4295478092122,22.72704707941709,3
1081,1075,743,1157,2095,2688,2324,2733,1554,783,70000,202008,114.4295478092122,22.72704707941709,3
1529,1395,1185,1450,2216,2477,2219,2680,1738,871,550000,202009,114.4295478092122,22.72704707941709,3
1117,1043,881,1232,1739,2023,1831,2156,1413,730,100000,202010,114.4295478092122,22.72704707941709,3
1144,1144,920,1413,2477,2864,2934,3169,2131,1165,100000,202011,114.4295478092122,22.72704707941709,3
1285,1238,1048,1461,2617,2965,2833,3206,1912,1003,270000,202012,114.4295478092122,22.72704707941709,3
1248,1207,997,1520,2531,2862,2874,3123,2237,1302,90000,202101,114.4295478092122,22.72704707941709,3
1204,1094,1162,1328,1658,1901,1893,2171,2396,1464,60000,202102,114.4295478092122,22.72704707941709,3
1439,1301,1170,1376,1961,2225,2060,2471,2349,1408,210000,202103,114.4295478092122,22.72704707941709,3
1828,2023,2426,2465,2813,3122,2915,3407,3991,2918,50000,202104,114.4295478092122,22.72704707941709,3
1869,2001,2365,2334,2754,3054,2884,3317,3915,2891,160000,202105,114.4295478092122,22.72704707941709,3
1401,1494,1540,1734,2582,3065,2630,3352,2740,1708,160000,202106,114.4295478092122,22.72704707941709,3
1138,1268,857,1446,3054,3824,3761,4117,2100,896,80000,202107,114.4295478092122,22.72704707941709,3
1286,1341,990,1465,2818,3658,3881,3999,2237,1044,210000,202108,114.4295478092122,22.72704707941709,3
1495,1612,1775,1712,2597,3050,2716,3379,2774,1618,220000,202109,114.4295478092122,22.72704707941709,3
1487,1655,1801,1719,2693,3130,2993,3378,2785,1574,60000,202110,114.4295478092122,22.72704707941709,3
1479,1608,1792,1905,2760,3181,2954,3312,2519,1574,70000,202111,114.4295478092122,22.72704707941709,3
1221,1261,1434,1757,2405,2669,2499,2931,2487,1555,70000,202112,114.4295478092122,22.72704707941709,3
