B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
758,624,345,605,2012,2629,2523,2895,1189,407,0,201609,114.55133638515044,22.627035842537914,2
864,659,373,603,1886,2296,2346,2532,1096,378,20000,201610,114.55133638515044,22.627035842537914,2
884,628,366,521,1447,1902,1764,2139,846,315,60000,201611,114.55133638515044,22.627035842537914,2
913,635,365,462,1163,1558,1507,1700,654,222,50000,201612,114.55133638515044,22.627035842537914,2
813,559,312,390,1008,1431,1216,1574,633,225,40000,201701,114.55133638515044,22.627035842537914,2
1109,869,559,720,1655,1951,1976,2116,876,349,200000,201702,114.55133638515044,22.627035842537914,2
1607,1338,1057,1145,1825,2139,2009,2330,1033,417,550000,201703,114.55133638515044,22.627035842537914,2
930,784,474,806,2108,2604,2647,2802,1340,566,100000,201704,114.55133638515044,22.627035842537914,2
1338,1217,985,1187,2471,3001,2987,3217,1891,910,-100,201705,114.55133638515044,22.627035842537914,2
1746,1651,1496,1568,2835,3398,3328,3632,2443,1255,-100,201706,114.55133638515044,22.627035842537914,2
2154,2085,2007,1950,3199,3796,3669,4047,2995,1600,670000,201707,114.55133638515044,22.627035842537914,2
866,808,454,876,2572,3446,3367,3898,1485,533,10000,201708,114.55133638515044,22.627035842537914,2
820,678,390,638,2046,2751,2591,3113,1173,376,10000,201709,114.55133638515044,22.627035842537914,2
942,745,428,623,1652,2383,2156,2660,898,334,120000,201710,114.55133638515044,22.627035842537914,2
847,615,350,543,1484,2232,1901,2425,809,284,60000,201711,114.55133638515044,22.627035842537914,2
978,718,426,550,1258,1485,1618,1744,582,225,70000,201712,114.55133638515044,22.627035842537914,2
907,670,413,573,1283,1613,1560,1668,656,282,100000,201801,114.55133638515044,22.627035842537914,2
1043,809,521,733,1780,2096,2171,2357,1005,376,180000,201802,114.55133638515044,22.627035842537914,2
882,722,473,757,1822,2173,2142,2415,1016,442,90000,201803,114.55133638515044,22.627035842537914,2
1500,1290,932,1208,2340,2960,2875,3245,1477,601,560000,201804,114.55133638515044,22.627035842537914,2
2595,2558,2617,2670,3713,4351,4105,4696,3321,1821,500000,201805,114.55133638515044,22.627035842537914,2
924,864,494,946,2764,3612,3590,4096,1832,680,40000,201806,114.55133638515044,22.627035842537914,2
953,920,492,999,2909,3861,3832,4248,1853,649,60000,201807,114.55133638515044,22.627035842537914,2
846,775,417,790,2424,3331,3225,3729,1423,458,20000,201808,114.55133638515044,22.627035842537914,2
884,714,416,660,1920,2713,2602,3086,1279,477,20000,201809,114.55133638515044,22.627035842537914,2
776,582,309,542,1603,2009,1758,2303,898,339,20000,201810,114.55133638515044,22.627035842537914,2
930,665,382,534,1306,1650,1589,1839,680,252,50000,201811,114.55133638515044,22.627035842537914,2
771,556,319,420,1049,1307,1494,1455,559,189,30000,201812,114.55133638515044,22.627035842537914,2
983,697,423,556,1272,1532,1527,1610,711,278,60000,201901,114.55133638515044,22.627035842537914,2
