B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
898,730,488,533,700,689,578,849,648,369,100000,201609,114.32673440638392,22.60687352956092,1
991,805,535,550,657,722,562,766,593,313,-100,201610,114.32673440638392,22.60687352956092,1
1084,881,583,567,614,755,546,684,538,258,70000,201611,114.32673440638392,22.60687352956092,1
1128,911,591,673,698,821,636,796,550,333,60000,201612,114.32673440638392,22.60687352956092,1
1128,937,583,595,459,632,568,533,386,197,40000,201701,114.32673440638392,22.60687352956092,1
1344,1104,801,882,974,994,821,891,662,349,100000,201702,114.32673440638392,22.60687352956092,1
1229,1028,737,807,880,943,764,836,665,378,-100,201703,114.32673440638392,22.60687352956092,1
1115,952,673,732,786,892,707,781,669,407,60000,201704,114.32673440638392,22.60687352956092,1
1522,1317,1050,1165,1586,1743,1742,1845,1219,726,610000,201705,114.32673440638392,22.60687352956092,1
1740,1616,1457,1565,2159,2445,2240,2674,2014,1636,-100,201706,114.32673440638392,22.60687352956092,1
1959,1915,1864,1965,2733,3148,2738,3503,2810,2546,530000,201707,114.32673440638392,22.60687352956092,1
1118,978,729,759,877,1029,911,1151,806,486,210000,201708,114.32673440638392,22.60687352956092,1
1045,862,604,649,808,934,820,1103,635,370,220000,201709,114.32673440638392,22.60687352956092,1
1195,959,668,645,792,810,734,811,451,233,230000,201710,114.32673440638392,22.60687352956092,1
1149,938,649,639,611,833,758,893,462,296,210000,201711,114.32673440638392,22.60687352956092,1
1201,972,661,717,701,775,617,743,417,254,40000,201712,114.32673440638392,22.60687352956092,1
1104,903,609,622,590,698,552,613,365,217,20000,201801,114.32673440638392,22.60687352956092,1
1273,1085,790,782,837,935,760,943,625,359,180000,201802,114.32673440638392,22.60687352956092,1
1142,980,690,700,677,651,640,613,385,208,50000,201803,114.32673440638392,22.60687352956092,1
1490,1250,947,972,1130,1306,1126,1261,545,319,460000,201804,114.32673440638392,22.60687352956092,1
975,814,594,630,750,845,772,742,724,392,180000,201805,114.32673440638392,22.60687352956092,1
1082,911,688,708,948,1089,888,1070,718,407,210000,201806,114.32673440638392,22.60687352956092,1
1037,852,554,572,612,808,612,769,451,237,60000,201807,114.32673440638392,22.60687352956092,1
1055,855,558,578,637,865,624,840,493,267,-100,201808,114.32673440638392,22.60687352956092,1
1074,859,562,584,662,922,636,911,535,297,50000,201809,114.32673440638392,22.60687352956092,1
880,675,413,395,342,370,448,410,291,195,40000,201810,114.32673440638392,22.60687352956092,1
1116,877,582,608,764,687,628,716,468,266,80000,201811,114.32673440638392,22.60687352956092,1
892,686,460,503,632,596,454,670,473,247,50000,201812,114.32673440638392,22.60687352956092,1
1218,979,680,737,818,915,729,821,591,281,110000,201901,114.32673440638392,22.60687352956092,1
1073,898,658,709,882,968,853,1054,783,415,270000,201902,114.32673440638392,22.60687352956092,1
1457,1205,915,921,1108,1152,966,1178,628,369,450000,201903,114.32673440638392,22.60687352956092,1
1334,1147,871,921,1188,1288,1302,1424,985,547,370000,201904,114.32673440638392,22.60687352956092,1
1075,877,605,649,875,840,734,901,637,371,110000,201905,114.32673440638392,22.60687352956092,1
2128,2270,2315,2647,2936,3323,2287,3530,2813,2244,80000,201906,114.32673440638392,22.60687352956092,1
1169,946,656,707,861,950,843,944,536,268,220000,201907,114.32673440638392,22.60687352956092,1
1859,1680,1555,1576,2111,2509,2188,2678,1942,1318,710000,201908,114.32673440638392,22.60687352956092,1
1212,1105,971,1010,1005,1183,1106,1147,1265,879,80000,201909,114.32673440638392,22.60687352956092,1
1167,931,644,661,746,762,672,702,540,314,70000,201910,114.32673440638392,22.60687352956092,1
1212,994,726,728,895,931,767,819,640,350,70000,201911,114.32673440638392,22.60687352956092,1
1158,971,906,907,1019,1073,1024,1139,1303,892,90000,201912,114.32673440638392,22.60687352956092,5
1198,1064,1063,1259,1373,1484,1265,1543,1792,1379,30000,202001,114.32673440638392,22.60687352956092,5
1426,1252,1189,1399,1601,1738,1509,1903,2220,1583,140000,202002,114.32673440638392,22.60687352956092,5
1396,1252,1209,1327,1555,1729,1500,1900,2191,1474,170000,202003,114.32673440638392,22.60687352956092,5
1245,1144,1222,1297,1429,1608,1389,1629,1973,1455,120000,202004,114.32673440638392,22.60687352956092,5
1256,1145,1150,1219,1449,1670,1345,1746,1785,1232,300000,202005,114.32673440638392,22.60687352956092,5
1437,1505,1581,1625,1885,2036,1664,2176,1978,1249,240000,202006,114.32673440638392,22.60687352956092,5
1472,1534,1673,1524,1652,1850,1593,2026,2047,1343,160000,202007,114.32673440638392,22.60687352956092,5
1432,1454,1498,1447,1297,1654,1286,1633,1574,956,290000,202008,114.32673440638392,22.60687352956092,5
1606,1555,1575,1558,1939,2244,1892,2364,2305,1485,440000,202009,114.32673440638392,22.60687352956092,5
1649,1795,2123,2148,2264,2529,2397,2751,2422,1555,90000,202010,114.32673440638392,22.60687352956092,5
1849,2111,2397,2216,2300,2317,2556,2417,2330,1908,30000,202011,114.32673440638392,22.60687352956092,5
1615,1683,1875,1936,2083,2227,2094,2301,2116,1505,190000,202012,114.32673440638392,22.60687352956092,5
1526,1584,1690,2142,2122,2243,1882,2384,2738,2128,10000,202101,114.32673440638392,22.60687352956092,5
1794,1848,1911,2058,2236,2413,1998,2508,2449,1887,240000,202102,114.32673440638392,22.60687352956092,5
1700,1635,1738,1724,2029,2177,2059,2336,2518,1802,370000,202103,114.32673440638392,22.60687352956092,5
1532,1450,1845,2015,2298,2465,2291,2616,2550,1761,90000,202104,114.32673440638392,22.60687352956092,5
2348,2390,2751,2292,2511,2842,2818,2957,3060,2407,30000,202105,114.32673440638392,22.60687352956092,5
1539,1427,1898,2022,2371,2629,2295,2768,2960,2077,200000,202106,114.32673440638392,22.60687352956092,5
2308,2323,2450,2296,2395,2706,2363,2781,2674,1865,80000,202107,114.32673440638392,22.60687352956092,5
1708,1584,1412,1382,1568,1834,1957,1854,1392,878,580000,202108,114.32673440638392,22.60687352956092,5
1687,1708,1920,2202,2488,2705,2260,2954,2711,1969,180000,202109,114.32673440638392,22.60687352956092,5
1527,1404,1305,1326,1601,1797,1590,1874,1385,927,420000,202110,114.32673440638392,22.60687352956092,5
1419,1288,1351,1797,1776,2094,1476,2193,1923,1507,80000,202111,114.32673440638392,22.60687352956092,5
1543,1574,1661,2140,2063,2282,1699,2201,2012,1855,60000,202112,114.32673440638392,22.60687352956092,5
