B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1393,1203,1004,983,1012,1091,888,1152,903,717,40000,201609,114.42828447109848,22.59346740527821,1
1154,897,417,356,363,390,239,393,146,132,10000,201610,114.42828447109848,22.59346740527821,1
1199,971,519,429,417,425,347,353,138,88,0,201611,114.42828447109848,22.59346740527821,1
1058,777,428,377,368,358,291,310,108,59,0,201612,114.42828447109848,22.59346740527821,1
1050,767,393,325,296,285,277,235,76,21,0,201701,114.42828447109848,22.59346740527821,1
1414,1116,660,602,625,619,536,558,181,99,40000,201702,114.42828447109848,22.59346740527821,1
1862,1580,1313,1250,1389,1440,1255,1391,673,451,480000,201703,114.42828447109848,22.59346740527821,1
1097,810,438,395,443,437,330,365,173,125,20000,201704,114.42828447109848,22.59346740527821,1
1886,1664,1608,1610,1796,1949,1747,2076,2304,1901,320000,201705,114.42828447109848,22.59346740527821,1
1439,1199,1005,980,1071,1155,1016,1197,1235,1002,-100,201706,114.42828447109848,22.59346740527821,1
993,735,403,350,346,361,285,318,166,103,0,201707,114.42828447109848,22.59346740527821,1
1081,791,487,417,472,478,394,406,122,59,10000,201708,114.42828447109848,22.59346740527821,1
1359,1174,983,922,1005,1073,873,1080,861,683,10000,201709,114.42828447109848,22.59346740527821,1
1335,1065,570,486,492,519,422,439,135,66,20000,201710,114.42828447109848,22.59346740527821,1
1174,911,506,432,429,440,364,377,143,99,0,201711,114.42828447109848,22.59346740527821,1
1366,1060,562,496,473,445,368,376,114,57,10000,201712,114.42828447109848,22.59346740527821,1
1293,1043,529,450,408,402,343,323,144,98,20000,201801,114.42828447109848,22.59346740527821,1
1198,872,523,467,476,479,400,421,150,80,20000,201802,114.42828447109848,22.59346740527821,1
1058,791,492,438,462,470,397,407,125,67,20000,201803,114.42828447109848,22.59346740527821,1
1353,1066,707,677,738,775,667,714,248,131,240000,201804,114.42828447109848,22.59346740527821,1
1001,698,324,258,244,258,191,205,54,28,0,201805,114.42828447109848,22.59346740527821,1
1163,925,518,457,484,513,429,460,218,146,0,201806,114.42828447109848,22.59346740527821,1
1150,875,487,400,371,403,315,319,112,63,0,201807,114.42828447109848,22.59346740527821,1
2191,2112,2054,2039,2217,2381,1994,2410,2290,1676,270000,201808,114.42828447109848,22.59346740527821,1
