B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1365,1153,983,912,965,1014,850,1018,821,644,20000,201609,114.4261070430758,22.59561035541384,1
1048,742,367,305,297,290,302,225,94,45,0,201610,114.4261070430758,22.59561035541384,1
1202,948,479,388,370,371,297,314,98,49,10000,201611,114.4261070430758,22.59561035541384,1
1058,769,434,376,354,350,291,303,110,56,0,201612,114.4261070430758,22.59561035541384,1
1038,753,394,325,304,290,225,229,79,42,0,201701,114.4261070430758,22.59561035541384,1
1388,1057,645,571,604,579,509,519,148,73,40000,201702,114.4261070430758,22.59561035541384,1
1860,1608,1308,1248,1385,1439,1266,1392,641,415,430000,201703,114.4261070430758,22.59561035541384,1
1089,814,450,408,397,386,333,337,123,81,10000,201704,114.4261070430758,22.59561035541384,1
1908,1738,1681,1623,1829,1967,1794,2137,2324,1875,260000,201705,114.4261070430758,22.59561035541384,1
1452,1231,1039,979,1082,1153,1032,1212,1230,981,-100,201706,114.4261070430758,22.59561035541384,1
997,724,398,336,335,339,270,288,136,87,0,201707,114.4261070430758,22.59561035541384,1
1076,801,472,421,445,456,385,398,115,62,0,201708,114.4261070430758,22.59561035541384,1
1136,900,598,503,527,542,444,496,282,210,0,201709,114.4261070430758,22.59561035541384,1
1351,1047,567,483,490,528,429,455,140,74,20000,201710,114.4261070430758,22.59561035541384,1
1206,956,518,444,424,446,366,383,154,95,0,201711,114.4261070430758,22.59561035541384,1
1389,1077,579,489,456,438,374,370,109,62,10000,201712,114.4261070430758,22.59561035541384,1
1306,1019,523,429,399,395,331,323,134,103,20000,201801,114.4261070430758,22.59561035541384,1
1222,892,531,465,473,461,391,408,151,76,20000,201802,114.4261070430758,22.59561035541384,1
1047,783,492,446,453,454,387,402,122,67,10000,201803,114.4261070430758,22.59561035541384,1
1369,1081,735,679,737,776,656,704,245,135,190000,201804,114.4261070430758,22.59561035541384,1
1034,749,332,266,254,262,187,187,57,28,0,201805,114.4261070430758,22.59561035541384,1
1141,885,488,416,425,434,371,393,162,102,0,201806,114.4261070430758,22.59561035541384,1
1136,866,494,394,369,393,292,316,112,67,0,201807,114.4261070430758,22.59561035541384,1
