B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1272,1078,948,880,900,966,757,977,792,625,20000,201609,114.52802177842764,22.576606297783133,1
1034,787,415,327,272,267,202,197,60,38,0,201610,114.52802177842764,22.576606297783133,1
1148,915,459,358,296,284,236,225,67,35,0,201611,114.52802177842764,22.576606297783133,1
1023,736,387,307,266,245,208,205,57,32,0,201612,114.52802177842764,22.576606297783133,1
1040,774,393,319,285,288,224,222,109,72,0,201701,114.52802177842764,22.576606297783133,1
1317,995,589,524,497,478,406,423,119,59,10000,201702,114.52802177842764,22.576606297783133,1
1933,1626,1346,1240,1268,1288,1113,1222,542,331,190000,201703,114.52802177842764,22.576606297783133,1
1085,813,479,416,390,365,313,325,126,89,10000,201704,114.52802177842764,22.576606297783133,1
1933,1621,1418,1326,1384,1487,1238,1489,1123,806,590000,201705,114.52802177842764,22.576606297783133,1
1598,1304,1064,979,1005,1069,883,1057,767,551,-100,201706,114.52802177842764,22.576606297783133,1
1263,987,710,632,626,652,528,626,412,296,-100,201707,114.52802177842764,22.576606297783133,1
929,670,356,285,248,235,174,195,57,42,0,201708,114.52802177842764,22.576606297783133,1
1317,1168,985,920,937,1019,843,1031,876,693,30000,201709,114.52802177842764,22.576606297783133,1
1104,835,455,391,358,353,292,293,97,55,0,201710,114.52802177842764,22.576606297783133,1
1048,787,406,325,285,283,227,221,57,39,0,201711,114.52802177842764,22.576606297783133,1
1438,1123,620,505,410,402,320,322,89,46,10000,201712,114.52802177842764,22.576606297783133,1
1247,1014,536,431,348,335,282,275,108,80,0,201801,114.52802177842764,22.576606297783133,1
1460,1148,924,839,835,828,743,793,521,376,70000,201802,114.52802177842764,22.576606297783133,1
1036,777,480,417,403,393,333,325,101,57,0,201803,114.52802177842764,22.576606297783133,1
1516,1204,852,767,769,796,665,719,309,180,140000,201804,114.52802177842764,22.576606297783133,1
1079,779,439,359,340,351,282,295,159,119,0,201805,114.52802177842764,22.576606297783133,1
1063,810,536,480,466,472,399,434,236,184,10000,201806,114.52802177842764,22.576606297783133,1
1058,843,482,411,379,377,295,330,137,88,0,201807,114.52802177842764,22.576606297783133,1
1903,1852,1789,1694,1736,1878,1606,1996,1780,1353,70000,201808,114.52802177842764,22.576606297783133,1
948,772,395,324,265,263,206,205,71,45,0,201809,114.52802177842764,22.576606297783133,1
911,668,319,273,229,206,178,162,54,46,50000,201810,114.52802177842764,22.576606297783133,1
1174,883,463,387,337,325,257,257,78,39,0,201811,114.52802177842764,22.576606297783133,1
1051,764,354,284,252,238,188,173,54,36,0,201812,114.52802177842764,22.576606297783133,1
1139,857,501,432,393,360,300,306,85,46,0,201901,114.52802177842764,22.576606297783133,1
913,628,400,345,318,310,251,262,101,73,0,201902,114.52802177842764,22.576606297783133,1
1450,1146,803,735,770,759,629,672,224,118,90000,201903,114.52802177842764,22.576606297783133,1
