,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,1013,903,669,1080,1160,1218,580,1281,922,674,30000,201609,114.51171652749322,22.5475558389855,7
1,1548,1332,1075,1161,1365,1562,1487,1532,1206,817,420000,201610,114.51171652749322,22.5475558389855,7
2,1178,1041,752,1081,1153,1069,585,1184,826,617,20000,201611,114.51171652749322,22.5475558389855,7
3,1211,1173,835,1003,1008,1097,798,1004,867,636,30000,201612,114.51171652749322,22.5475558389855,7
4,1502,1414,1192,973,1063,989,1088,1060,843,570,70000,201701,114.51171652749322,22.5475558389855,7
5,1450,1333,1050,1215,1259,1431,938,1409,1087,903,90000,201702,114.51171652749322,22.5475558389855,7
6,2188,1910,1680,1618,1709,1780,1515,1729,929,568,540000,201703,114.51171652749322,22.5475558389855,7
7,1225,1172,848,1094,1153,1214,780,1143,889,736,80000,201704,114.51171652749322,22.5475558389855,7
8,1186,1142,824,1144,1293,1322,747,1263,960,726,-100,201705,114.51171652749322,22.5475558389855,7
9,1147,1112,800,1194,1433,1430,714,1384,1031,716,-100,201706,114.51171652749322,22.5475558389855,7
10,1108,1082,776,1245,1574,1539,682,1505,1103,707,30000,201707,114.51171652749322,22.5475558389855,7
11,1040,1001,683,1059,1163,1297,582,1489,801,519,10000,201708,114.51171652749322,22.5475558389855,7
12,985,911,601,742,929,1040,575,1097,702,396,20000,201709,114.51171652749322,22.5475558389855,7
13,1187,1103,824,1010,1311,1392,1194,1476,998,574,280000,201710,114.51171652749322,22.5475558389855,7
14,1200,1106,892,843,1000,1054,1222,1019,704,426,240000,201711,114.51171652749322,22.5475558389855,7
15,1364,1265,1002,1138,1236,1202,1060,1198,992,738,110000,201712,114.51171652749322,22.5475558389855,7
16,1184,1080,913,1077,1153,1119,983,1088,943,714,110000,201801,114.51171652749322,22.5475558389855,7
17,1251,1155,958,1237,1292,1388,1025,1332,1053,760,30000,201802,114.51171652749322,22.5475558389855,7
18,1200,1152,864,1237,1272,1365,782,1404,1202,940,60000,201803,114.51171652749322,22.5475558389855,7
19,1691,1540,1328,1336,1517,1681,1570,1778,1365,1011,420000,201804,114.51171652749322,22.5475558389855,7
20,1115,1060,751,1218,1223,1586,646,1752,1253,864,50000,201805,114.51171652749322,22.5475558389855,7
21,1130,964,690,1208,1372,1589,749,1521,1063,712,60000,201806,114.51171652749322,22.5475558389855,7
22,1116,1088,701,1014,1553,1686,1251,1736,995,622,70000,201807,114.51171652749322,22.5475558389855,7
23,1038,987,625,938,1227,1383,872,1426,890,551,-100,201808,114.51171652749322,22.5475558389855,7
24,960,886,549,862,902,1080,494,1117,786,480,20000,201809,114.51171652749322,22.5475558389855,7
25,1135,1087,902,873,970,1096,1301,1161,850,593,350000,201810,114.51171652749322,22.5475558389855,7
26,1612,1591,1623,1565,1650,1951,1864,1933,1727,1301,60000,201811,114.51171652749322,22.5475558389855,7
27,1082,1018,761,1083,1067,1145,756,1186,1052,741,60000,201812,114.51171652749322,22.5475558389855,7
28,1264,1075,821,1123,1296,1174,758,1192,1113,886,50000,201901,114.51171652749322,22.5475558389855,7
29,1555,1416,1213,1298,1431,1559,1330,1628,1370,921,180000,201902,114.51171652749322,22.5475558389855,7
30,1715,1637,1530,1581,1760,1971,1668,2024,1778,1202,-100,201903,114.51171652749322,22.5475558389855,7
31,1876,1859,1847,1865,2090,2383,2006,2420,2186,1484,130000,201904,114.51171652749322,22.5475558389855,7
32,1242,1061,815,966,1148,1199,819,1151,671,413,80000,201905,114.51171652749322,22.5475558389855,7
33,1209,1197,961,1572,2175,2193,1404,2469,1583,1038,70000,201906,114.51171652749322,22.5475558389855,7
34,1095,1034,725,1116,1554,1835,1521,2101,1196,734,150000,201907,114.51171652749322,22.5475558389855,7
35,1192,1092,765,1123,1451,1685,1129,1767,1019,572,70000,201908,114.51171652749322,22.5475558389855,7
36,900,869,528,1024,1587,1534,760,1804,970,654,110000,201909,114.51171652749322,22.5475558389855,7
37,1205,1059,713,977,1345,1419,1353,1636,813,467,350000,201910,114.51171652749322,22.5475558389855,7
38,1724,1952,2238,1893,2044,2361,2358,2376,2124,1538,40000,201911,114.51171652749322,22.5475558389855,7
39,1351,1539,1723,1469,1474,1605,1681,1582,1297,893,30000,201912,114.51171652749322,22.5475558389855,7
40,1436,1611,1896,1645,1748,1769,1963,1766,1518,1091,70000,202001,114.51171652749322,22.5475558389855,4
41,1576,1668,1921,1666,1786,1933,2158,1964,1707,1303,60000,202002,114.51171652749322,22.5475558389855,4
42,1509,1591,1791,1649,1883,1877,1907,2032,1795,1300,60000,202003,114.51171652749322,22.5475558389855,4
43,1821,2052,2456,2240,2486,2905,2767,2844,2828,2091,20000,202004,114.51171652749322,22.5475558389855,4
44,1955,2286,2730,2172,2157,2609,2838,2622,2352,1717,10000,202005,114.51171652749322,22.5475558389855,4
45,1988,2257,2487,1710,1728,2156,2326,2020,1664,1180,30000,202006,114.51171652749322,22.5475558389855,4
46,2174,2497,2790,2027,2277,2584,2702,2580,2020,1497,20000,202007,114.51171652749322,22.5475558389855,4
47,2074,2351,2567,1971,2136,2402,2627,2380,1938,1350,30000,202008,114.51171652749322,22.5475558389855,4
48,1739,1830,1899,1502,1791,2084,2204,2103,1781,1221,80000,202009,114.51171652749322,22.5475558389855,4
49,1467,1618,1642,1298,1393,1586,1876,1656,1242,867,60000,202010,114.51171652749322,22.5475558389855,4
50,1810,1981,2183,1870,2112,2099,2448,2106,1749,1317,40000,202011,114.51171652749322,22.5475558389855,4
51,1603,1686,1835,1576,1708,1790,2059,1860,1402,1064,30000,202012,114.51171652749322,22.5475558389855,4
52,1863,1921,2144,1653,1772,1785,2365,1708,1527,1144,20000,202101,114.51171652749322,22.5475558389855,4
53,1952,2104,2382,1951,2139,2224,2572,2248,1855,1475,20000,202102,114.51171652749322,22.5475558389855,4
54,1676,1583,1656,1356,1523,1744,1974,1789,1595,1161,140000,202103,114.51171652749322,22.5475558389855,4
55,1691,1867,2063,2458,2721,2923,2234,3042,3108,2149,50000,202104,114.51171652749322,22.5475558389855,4
56,2314,2897,3652,3780,4052,4509,3766,4518,5013,3303,60000,202105,114.51171652749322,22.5475558389855,4
57,1828,2165,2742,2556,2880,3232,2791,3371,3505,2180,170000,202106,114.51171652749322,22.5475558389855,4
58,2254,2424,2682,2273,2586,2816,2752,2854,2550,1654,60000,202107,114.51171652749322,22.5475558389855,4
59,1482,1692,1926,1881,2128,2315,2163,2401,2256,1464,70000,202108,114.51171652749322,22.5475558389855,4
60,1674,1818,2107,1857,2135,2487,2357,2539,2448,1632,110000,202109,114.51171652749322,22.5475558389855,4
61,2191,2463,2939,2592,2915,3157,3036,3307,3101,2195,100000,202110,114.51171652749322,22.5475558389855,4
