,Unnamed: 0,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
0,0,877,784,499,784,846,788,392,828,733,456,20000,201609,114.51192829374423,22.5475558389855,7
1,1,1433,1368,1092,1134,1368,1457,1451,1396,1181,752,290000,201610,114.51192829374423,22.5475558389855,7
2,2,1133,1015,686,881,943,1070,531,999,800,497,20000,201611,114.51192829374423,22.5475558389855,7
3,3,1127,980,680,877,920,915,478,1004,767,523,30000,201612,114.51192829374423,22.5475558389855,7
4,4,1145,1079,779,886,843,901,691,1074,754,521,40000,201701,114.51192829374423,22.5475558389855,7
5,5,1356,1192,895,1033,1122,1123,649,1152,970,662,100000,201702,114.51192829374423,22.5475558389855,7
6,6,2157,1906,1655,1593,1671,1749,1464,1673,869,529,550000,201703,114.51192829374423,22.5475558389855,7
7,7,1127,1033,731,941,974,825,534,889,722,552,60000,201704,114.51192829374423,22.5475558389855,7
8,8,1095,1028,712,966,983,972,518,996,777,548,-100,201705,114.51192829374423,22.5475558389855,7
9,9,1064,1023,693,992,992,1119,502,1104,832,544,-100,201706,114.51192829374423,22.5475558389855,7
10,10,1033,1018,675,1018,1002,1267,487,1212,887,540,30000,201707,114.51192829374423,22.5475558389855,7
11,11,956,927,548,756,759,1189,454,1055,699,438,20000,201708,114.51192829374423,22.5475558389855,7
12,12,983,896,590,770,971,1155,543,1036,707,399,20000,201709,114.51192829374423,22.5475558389855,7
13,13,1137,1019,711,949,1163,1492,898,1589,972,537,130000,201710,114.51192829374423,22.5475558389855,7
14,14,1153,1086,790,998,1240,1319,1263,1498,961,550,210000,201711,114.51192829374423,22.5475558389855,7
15,15,1251,1154,811,965,956,913,632,1014,731,482,50000,201712,114.51192829374423,22.5475558389855,7
16,16,1126,966,669,905,964,914,630,1003,907,707,110000,201801,114.51192829374423,22.5475558389855,7
17,17,1182,956,696,835,819,981,575,927,796,579,30000,201802,114.51192829374423,22.5475558389855,7
18,18,1132,1100,787,973,875,908,593,1023,1000,735,40000,201803,114.51192829374423,22.5475558389855,7
19,19,1603,1433,1179,1200,1334,1431,1199,1412,1245,835,140000,201804,114.51192829374423,22.5475558389855,7
20,20,1032,934,570,805,873,936,371,982,898,545,40000,201805,114.51192829374423,22.5475558389855,7
21,21,1027,880,582,740,966,999,457,909,800,516,40000,201806,114.51192829374423,22.5475558389855,7
22,22,1074,971,614,840,1196,1350,680,1511,896,461,30000,201807,114.51192829374423,22.5475558389855,7
23,23,1019,913,556,727,952,1203,564,1306,742,390,-100,201808,114.51192829374423,22.5475558389855,7
24,24,965,855,499,614,708,1057,448,1101,589,320,20000,201809,114.51192829374423,22.5475558389855,7
25,25,1066,1038,774,968,1332,1586,1545,1681,1110,719,330000,201810,114.51192829374423,22.5475558389855,7
26,26,1428,1431,1306,1300,1411,1598,1281,1519,1426,912,110000,201811,114.51192829374423,22.5475558389855,7
27,27,885,724,443,603,562,622,278,627,634,420,20000,201812,114.51192829374423,22.5475558389855,7
28,28,1182,1022,732,912,966,936,653,1037,851,618,70000,201901,114.51192829374423,22.5475558389855,7
29,29,1671,1514,1312,1307,1445,1559,1486,1636,1344,921,440000,201902,114.51192829374423,22.5475558389855,7
30,30,1537,1402,1189,1308,1535,1517,1168,1625,1406,966,220000,201903,114.51192829374423,22.5475558389855,7
31,31,1734,1689,1665,1562,1790,1991,1731,2130,1804,1240,210000,201904,114.51192829374423,22.5475558389855,7
32,32,1368,1139,826,830,927,1023,1064,1058,672,346,360000,201905,114.51192829374423,22.5475558389855,7
