B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1250,1171,1045,1162,1269,1335,884,1404,935,764,70000,201609,114.50354684921678,22.547681892764288,7
945,658,453,463,545,627,442,674,302,259,40000,201610,114.50354684921678,22.547681892764288,7
1040,809,552,554,532,537,420,518,188,105,20000,201611,114.50354684921678,22.547681892764288,7
979,801,463,479,476,449,347,433,157,89,20000,201612,114.50354684921678,22.547681892764288,7
936,753,420,476,339,358,239,279,100,68,10000,201701,114.50354684921678,22.547681892764288,7
1202,985,667,726,666,674,575,610,201,120,50000,201702,114.50354684921678,22.547681892764288,7
1134,937,629,694,627,641,545,578,221,142,-100,201703,114.50354684921678,22.547681892764288,7
1066,889,591,663,589,608,515,546,241,164,50000,201704,114.50354684921678,22.547681892764288,7
1022,894,552,641,548,577,467,522,227,155,-100,201705,114.50354684921678,22.547681892764288,7
979,900,514,619,508,547,419,498,213,146,-100,201706,114.50354684921678,22.547681892764288,7
936,906,476,597,468,517,371,474,199,137,20000,201707,114.50354684921678,22.547681892764288,7
913,818,469,525,466,506,351,393,176,115,10000,201708,114.50354684921678,22.547681892764288,7
951,877,533,708,615,714,500,649,332,214,10000,201709,114.50354684921678,22.547681892764288,7
1056,890,560,703,626,680,548,599,179,98,30000,201710,114.50354684921678,22.547681892764288,7
1004,842,520,704,562,596,465,489,170,95,30000,201711,114.50354684921678,22.547681892764288,7
1170,954,645,863,723,769,606,641,191,111,50000,201712,114.50354684921678,22.547681892764288,7
1001,823,522,658,541,548,465,485,217,131,50000,201801,114.50354684921678,22.547681892764288,7
1110,971,587,734,682,695,569,597,254,156,40000,201802,114.50354684921678,22.547681892764288,7
1077,966,615,745,660,686,554,577,228,126,20000,201803,114.50354684921678,22.547681892764288,7
1601,1422,1082,1191,1303,1448,1180,1322,657,391,220000,201804,114.50354684921678,22.547681892764288,7
1052,1091,706,837,547,632,463,472,214,132,20000,201805,114.50354684921678,22.547681892764288,7
1096,985,634,743,672,725,583,639,334,205,30000,201806,114.50354684921678,22.547681892764288,7
852,657,410,383,379,381,317,329,159,124,10000,201807,114.50354684921678,22.547681892764288,7
908,763,450,419,391,407,336,352,159,100,-100,201808,114.50354684921678,22.547681892764288,7
964,869,491,455,403,433,356,376,160,77,10000,201809,114.50354684921678,22.547681892764288,7
863,840,479,514,324,398,316,306,128,81,70000,201810,114.50354684921678,22.547681892764288,7
1089,938,567,627,554,547,448,543,175,109,30000,201811,114.50354684921678,22.547681892764288,7
