B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1003,993,657,1046,2555,3377,2940,3521,1711,727,40000,201609,114.51975129187136,22.81015461661444,3
1038,868,568,688,1366,1686,1492,1703,669,320,410000,201610,114.51975129187136,22.81015461661444,3
1230,1140,934,1190,2336,2805,2831,3224,1825,850,240000,201611,114.51975129187136,22.81015461661444,3
1234,1110,984,1212,2183,2572,2609,2985,1971,1027,200000,201612,114.51975129187136,22.81015461661444,3
1158,1036,878,1259,2118,2483,2351,2839,1974,1062,160000,201701,114.51975129187136,22.81015461661444,3
1419,1276,1160,1377,2193,2444,2404,2721,2200,1256,450000,201702,114.51975129187136,22.81015461661444,3
1408,1429,1546,1799,2353,2606,2430,2772,2710,1791,-100,201703,114.51975129187136,22.81015461661444,3
1398,1582,1933,2222,2514,2768,2457,2824,3221,2327,30000,201704,114.51975129187136,22.81015461661444,3
1344,1526,1710,2007,2795,3210,2767,3262,3012,1973,-100,201705,114.51975129187136,22.81015461661444,3
1290,1470,1488,1793,3076,3653,3077,3700,2804,1620,-100,201706,114.51975129187136,22.81015461661444,3
1237,1414,1266,1579,3358,4096,3388,4138,2596,1267,190000,201707,114.51975129187136,22.81015461661444,3
1165,1045,829,949,1695,1971,1711,2083,1140,634,430000,201708,114.51975129187136,22.81015461661444,3
1170,1216,1200,1291,2662,3264,2740,3540,2445,1316,100000,201709,114.51975129187136,22.81015461661444,3
1370,1393,1433,1607,2480,2899,2587,3074,2413,1403,160000,201710,114.51975129187136,22.81015461661444,3
1405,1511,1697,1904,2723,3071,2759,3123,2920,1877,160000,201711,114.51975129187136,22.81015461661444,3
1449,1329,1320,1724,2281,2565,2480,2769,2661,1804,120000,201712,114.51975129187136,22.81015461661444,3
1220,1151,1129,1440,1967,2148,2239,2238,2162,1403,140000,201801,114.51975129187136,22.81015461661444,3
1563,1442,1405,1770,2214,2478,2282,2680,2740,1764,80000,201802,114.51975129187136,22.81015461661444,3
1444,1418,1424,1802,2475,2791,2645,2965,3012,2081,70000,201803,114.51975129187136,22.81015461661444,3
1719,1647,1575,1796,2398,2819,2631,2990,2980,1958,320000,201804,114.51975129187136,22.81015461661444,3
1364,1404,1245,1752,2887,3398,3121,3631,2903,1683,160000,201805,114.51975129187136,22.81015461661444,3
1214,1218,1007,1377,2577,2964,2760,3303,2208,1144,180000,201806,114.51975129187136,22.81015461661444,3
1314,1349,1017,1434,2750,3578,3259,3895,2399,1243,210000,201807,114.51975129187136,22.81015461661444,4
839,687,434,542,1021,1163,1076,1237,474,223,170000,201808,114.51975129187136,22.81015461661444,4
1373,1335,1293,1434,2290,2693,2550,2844,2219,1263,270000,201809,114.51975129187136,22.81015461661444,4
1233,1265,1288,1656,2467,2708,2617,2807,2287,1531,140000,201810,114.51975129187136,22.81015461661444,4
1396,1318,1184,1631,2326,2579,2385,2736,2117,1361,100000,201811,114.51975129187136,22.81015461661444,4
1044,977,872,1143,1916,2135,2047,2287,1560,882,60000,201812,114.51975129187136,22.81015461661444,4
1487,1387,1339,1524,2152,2311,2198,2488,2072,1363,450000,201901,114.51975129187136,22.81015461661444,4
1319,1295,1288,1298,1894,2099,1940,2194,1829,1104,230000,201902,114.51975129187136,22.81015461661444,4
1513,1339,1200,1393,1978,2228,2075,2317,1865,1123,360000,201903,114.51975129187136,22.81015461661444,4
1454,1201,981,961,1384,1542,1257,1502,666,329,670000,201904,114.51975129187136,22.81015461661444,4
1207,1186,1011,1348,2736,3095,2823,3348,2213,1175,170000,201905,114.51975129187136,22.81015461661444,4
1038,1051,833,1143,2601,3116,2620,3418,1782,822,100000,201906,114.51975129187136,22.81015461661444,4
1124,919,682,723,1179,1414,1137,1392,654,339,390000,201907,114.51975129187136,22.81015461661444,3
1340,1319,1085,1358,2711,3377,2915,3667,2146,1030,280000,201908,114.51975129187136,22.81015461661444,3
1027,1111,913,1228,2580,3008,2705,3287,1844,974,220000,201909,114.51975129187136,22.81015461661444,3
1252,1176,886,1288,2580,3078,2829,3469,2044,956,260000,201910,114.51975129187136,22.81015461661444,3
1334,1244,1118,1373,2549,2973,2817,3282,2023,1098,410000,201911,114.51975129187136,22.81015461661444,3
1085,1017,990,1151,1976,2251,2155,2493,1774,960,120000,201912,114.51975129187136,22.81015461661444,3
1110,1017,978,1194,1865,2159,2145,2405,1838,1076,130000,202001,114.51975129187136,22.81015461661444,3
1261,1166,1015,1234,1908,2375,2156,2628,2131,1233,200000,202002,114.51975129187136,22.81015461661444,3
1192,1116,970,1206,1872,2230,2050,2433,1926,1097,120000,202003,114.51975129187136,22.81015461661444,3
1140,1148,1002,1290,2227,2610,2314,2847,2020,1123,150000,202004,114.51975129187136,22.81015461661444,3
1323,1146,1023,1057,1544,1787,1562,1882,1065,614,490000,202005,114.51975129187136,22.81015461661444,3
1165,1183,952,1283,2650,3267,2886,3664,1973,965,250000,202006,114.51975129187136,22.81015461661444,3
1233,1255,1084,1312,2610,3157,2811,3436,1885,1009,310000,202007,114.51975129187136,22.81015461661444,3
1189,1301,927,1417,3113,3894,3403,4238,2208,1010,280000,202008,114.51975129187136,22.81015461661444,3
1223,1205,949,1147,2549,3214,2753,3629,1905,800,260000,202009,114.51975129187136,22.81015461661444,3
1008,997,708,1017,2580,3343,2789,3769,1757,742,150000,202010,114.51975129187136,22.81015461661444,3
1128,1080,808,1202,2814,3353,3316,3768,1942,953,340000,202011,114.51975129187136,22.81015461661444,3
1185,1070,863,1170,2080,2451,2433,2772,1679,845,140000,202012,114.51975129187136,22.81015461661444,3
1197,1091,887,1279,2478,2782,2630,3261,2104,1110,190000,202101,114.51975129187136,22.81015461661444,3
1143,1035,963,1129,1616,1858,1995,2124,1905,1071,70000,202102,114.51975129187136,22.81015461661444,3
1383,1242,1087,1250,1961,2210,2081,2495,2275,1301,270000,202103,114.51975129187136,22.81015461661444,3
1230,1155,1007,1271,2469,2864,2639,3127,2345,1265,160000,202104,114.51975129187136,22.81015461661444,3
1199,1264,959,1356,2800,3565,3227,3968,2476,1138,180000,202105,114.51975129187136,22.81015461661444,3
1227,1168,859,1184,2504,3249,2763,3587,2079,918,190000,202106,114.51975129187136,22.81015461661444,3
