B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1613,1738,2280,2590,3016,3405,3227,3842,4532,3200,70000,201609,114.56474532165132,22.732855573726688,3
1697,1727,2331,2522,2897,3244,2965,3539,4311,3049,50000,201610,114.56474532165132,22.732855573726688,3
1727,1776,2338,2612,3005,3343,3075,3651,4527,3378,70000,201611,114.56474532165132,22.732855573726688,3
1601,1580,2026,2186,2525,2800,2562,3018,3704,2682,40000,201612,114.56474532165132,22.732855573726688,3
1762,1785,2424,2518,2828,3096,2847,3325,3883,2927,40000,201701,114.56474532165132,22.732855573726688,3
1751,1690,2093,2307,2584,2762,2728,2990,3766,2913,140000,201702,114.56474532165132,22.732855573726688,3
2111,1994,2070,2134,2332,2558,2400,2779,3468,2758,510000,201703,114.56474532165132,22.732855573726688,3
1670,1656,2112,2369,2587,2876,2757,3059,3553,2760,40000,201704,114.56474532165132,22.732855573726688,3
1651,1680,2145,2372,2649,2960,2766,3153,3616,2691,-100,201705,114.56474532165132,22.732855573726688,3
1633,1704,2179,2375,2711,3044,2775,3248,3679,2623,-100,201706,114.56474532165132,22.732855573726688,3
1615,1729,2213,2379,2773,3128,2785,3343,3743,2555,70000,201707,114.56474532165132,22.732855573726688,3
1641,1724,2169,2462,2826,3148,2849,3486,3890,2688,90000,201708,114.56474532165132,22.732855573726688,3
1337,1282,1497,1917,2331,2686,2451,2993,3382,2302,20000,201709,114.56474532165132,22.732855573726688,3
1661,1660,2037,2102,2425,2856,2641,3088,3812,2773,80000,201710,114.56474532165132,22.732855573726688,3
1676,1709,2296,2384,2708,3081,2916,3330,4023,3003,50000,201711,114.56474532165132,22.732855573726688,3
1791,1719,2199,2391,2620,2849,2813,3118,3811,2950,120000,201712,114.56474532165132,22.732855573726688,3
1709,1701,2264,2466,2663,2781,2864,3046,3577,2793,60000,201801,114.56474532165132,22.732855573726688,3
1834,1817,2242,2347,2649,2843,2814,3143,3866,2832,190000,201802,114.56474532165132,22.732855573726688,3
1769,1792,2346,2498,2669,3076,2930,3300,4010,3040,30000,201803,114.56474532165132,22.732855573726688,3
1860,1776,2050,2143,2392,2700,2564,2943,3784,2925,240000,201804,114.56474532165132,22.732855573726688,3
1522,1620,2123,2345,2663,3118,2914,3387,4281,3023,30000,201805,114.56474532165132,22.732855573726688,3
1558,1506,1817,2028,2360,2776,2506,3002,3449,2444,60000,201806,114.56474532165132,22.732855573726688,3
1398,1414,1787,2094,2538,2960,2631,3305,3908,2636,30000,201807,114.56474532165132,22.732855573726688,3
1444,1489,1967,2113,2546,2908,2647,3227,3783,2559,20000,201808,114.56474532165132,22.732855573726688,3
1505,1457,1713,2094,2441,2927,2554,3146,3282,2223,50000,201809,114.56474532165132,22.732855573726688,3
1622,1709,2194,2534,2864,3104,3048,3254,3598,2794,90000,201810,114.56474532165132,22.732855573726688,3
1670,1650,2197,2200,2555,2803,2711,2963,3523,2615,50000,201811,114.56474532165132,22.732855573726688,3
1343,1298,1653,1835,2122,2371,2124,2483,2751,1907,30000,201812,114.56474532165132,22.732855573726688,3
1693,1612,1948,2065,2373,2662,2567,2837,3292,2589,130000,201901,114.56474532165132,22.732855573726688,3
1450,1419,1679,1974,2277,2441,2270,2687,3128,2250,30000,201902,114.56474532165132,22.732855573726688,3
1727,1596,1698,1857,2129,2360,2139,2476,2950,2257,290000,201903,114.56474532165132,22.732855573726688,3
1632,1590,1834,2017,2314,2554,2315,2711,3057,2302,-100,201904,114.56474532165132,22.732855573726688,3
1538,1584,1970,2177,2499,2749,2492,2947,3165,2347,40000,201905,114.56474532165132,22.732855573726688,3
