B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
920,872,571,932,2114,2624,2460,2834,1466,624,20000,201609,114.47688694907563,22.846025459335827,3
1030,940,664,1023,2117,2553,2441,2802,1546,693,-100,201610,114.47688694907563,22.846025459335827,3
1140,1008,758,1114,2120,2483,2423,2771,1626,763,110000,201611,114.47688694907563,22.846025459335827,3
1121,918,709,968,1646,1905,1912,2154,1337,649,130000,201612,114.47688694907563,22.846025459335827,3
1053,882,658,916,1588,1926,1799,2163,1360,653,110000,201701,114.47688694907563,22.846025459335827,3
1301,1113,897,1172,1785,1963,1958,2190,1511,828,130000,201702,114.47688694907563,22.846025459335827,3
1900,1671,1433,1624,2287,2582,2417,2838,2257,1230,760000,201703,114.47688694907563,22.846025459335827,3
1051,1003,755,1204,2107,2348,2323,2561,1948,1073,40000,201704,114.47688694907563,22.846025459335827,3
1694,1409,1177,1124,1326,1397,1180,1351,689,361,550000,201705,114.47688694907563,22.846025459335827,3
1461,1320,1062,1256,1996,2269,2060,2382,1547,787,-100,201706,114.47688694907563,22.846025459335827,3
1229,1231,948,1388,2666,3141,2940,3414,2405,1214,180000,201707,114.47688694907563,22.846025459335827,3
1214,1095,1116,1274,1733,2010,1900,2290,2120,1237,90000,201708,114.47688694907563,22.846025459335827,3
1045,927,943,1063,1396,1555,1491,1762,2072,1261,20000,201709,114.47688694907563,22.846025459335827,3
1257,1100,1113,1281,1618,1853,1676,2065,2312,1482,80000,201710,114.47688694907563,22.846025459335827,3
1424,1267,1255,1509,1860,2149,1993,2372,2425,1593,200000,201711,114.47688694907563,22.846025459335827,3
1325,1145,1080,1207,1380,1508,1527,1647,1761,1204,100000,201712,114.47688694907563,22.846025459335827,3
1183,976,937,1061,1240,1368,1350,1475,1707,1220,110000,201801,114.47688694907563,22.846025459335827,3
1408,1210,1181,1268,1513,1663,1601,1804,2003,1346,200000,201802,114.47688694907563,22.846025459335827,3
1137,1007,1005,1136,1387,1507,1482,1613,1824,1296,50000,201803,114.47688694907563,22.846025459335827,3
1168,1044,1041,1192,1513,1684,1603,1843,2049,1391,-100,201804,114.47688694907563,22.846025459335827,3
1199,1082,1078,1248,1639,1862,1724,2073,2274,1487,30000,201805,114.47688694907563,22.846025459335827,3
1237,1184,1169,1395,1891,2167,2097,2374,2391,1479,60000,201806,114.47688694907563,22.846025459335827,3
1064,1018,917,1173,1830,2109,1955,2336,2069,1173,20000,201807,114.47688694907563,22.846025459335827,3
963,879,745,1012,1660,1875,1766,2096,1644,849,20000,201808,114.47688694907563,22.846025459335827,3
1105,1017,828,1178,1922,2286,2189,2530,1944,995,30000,201809,114.47688694907563,22.846025459335827,3
1041,908,776,1103,1694,1975,1794,2165,1990,1202,30000,201810,114.47688694907563,22.846025459335827,3
1223,1041,911,1097,1628,1811,1790,2005,1728,1019,90000,201811,114.47688694907563,22.846025459335827,3
938,743,598,689,1039,1158,1220,1375,1134,633,60000,201812,114.47688694907563,22.846025459335827,3
1306,1101,950,1110,1469,1615,1555,1766,1573,997,200000,201901,114.47688694907563,22.846025459335827,3
1407,1199,1030,1204,1614,1773,1678,1932,1700,1051,-100,201902,114.47688694907563,22.846025459335827,3
1508,1297,1110,1298,1759,1931,1802,2098,1828,1105,300000,201903,114.47688694907563,22.846025459335827,3
1361,1220,1018,1290,2005,2249,2095,2482,2046,1167,-100,201904,114.47688694907563,22.846025459335827,3
1214,1144,926,1283,2251,2567,2389,2866,2265,1229,100000,201905,114.47688694907563,22.846025459335827,3
941,888,604,1022,2191,2540,2339,2821,1702,779,20000,201906,114.47688694907563,22.846025459335827,3
1345,1251,941,1248,2366,2871,2287,3100,1689,779,240000,201907,114.47688694907563,22.846025459335827,3
1448,1385,1094,1389,2510,3071,2701,3417,2034,949,480000,201908,114.47688694907563,22.846025459335827,3
903,877,586,1011,2258,2543,2425,2873,1548,714,10000,201909,114.47688694907563,22.846025459335827,3
1161,1053,777,1157,2208,2585,2422,2954,1739,830,150000,201910,114.47688694907563,22.846025459335827,3
1270,1104,867,1202,2082,2398,2264,2589,1658,847,150000,201911,114.47688694907563,22.846025459335827,3
966,840,633,905,1477,1809,1642,1892,1250,650,60000,201912,114.47688694907563,22.846025459335827,3
927,789,613,873,1373,1503,1577,1734,1252,699,50000,202001,114.47688694907563,22.846025459335827,3
1259,1078,898,1142,1671,1926,1855,2167,1763,963,90000,202002,114.47688694907563,22.846025459335827,3
1125,973,804,1018,1555,1787,1692,2023,1549,820,90000,202003,114.47688694907563,22.846025459335827,3
1027,977,769,1094,1860,2090,2127,2339,1836,973,30000,202004,114.47688694907563,22.846025459335827,3
1249,1043,835,909,1288,1492,1319,1557,929,534,410000,202005,114.47688694907563,22.846025459335827,3
1063,1087,749,1255,2631,3152,2914,3482,2046,941,20000,202006,114.47688694907563,22.846025459335827,3
1089,1103,790,1272,2533,2978,2723,3309,1912,881,30000,202007,114.47688694907563,22.846025459335827,3
1319,1225,898,1283,2599,3078,2748,3472,2109,927,260000,202008,114.47688694907563,22.846025459335827,3
1322,1227,886,1295,2501,2955,2688,3325,2012,891,230000,202009,114.47688694907563,22.846025459335827,3
947,875,601,964,2089,2527,2278,2813,1513,668,30000,202010,114.47688694907563,22.846025459335827,3
1003,944,619,1045,2165,2510,2472,2728,1497,716,60000,202011,114.47688694907563,22.846025459335827,3
1105,951,704,983,1732,1952,1943,2202,1188,563,100000,202012,114.47688694907563,22.846025459335827,3
1078,918,663,992,1774,2013,1967,2195,1402,723,80000,202101,114.47688694907563,22.846025459335827,3
1079,922,730,965,1418,1613,1618,1734,1285,630,150000,202102,114.47688694907563,22.846025459335827,3
1377,1185,988,1194,1700,1930,1849,2193,1771,932,210000,202103,114.47688694907563,22.846025459335827,3
1200,1079,926,1210,1847,2126,2096,2462,2170,1152,90000,202104,114.47688694907563,22.846025459335827,3
1038,958,762,1027,1620,1948,1891,2249,2049,1026,40000,202105,114.47688694907563,22.846025459335827,3
961,782,545,630,1049,1297,1028,1443,888,425,190000,202106,114.47688694907563,22.846025459335827,3
1115,1184,779,1436,2841,3288,3129,3677,2430,1100,50000,202107,114.47688694907563,22.846025459335827,3
991,1042,638,1209,2631,3083,2940,3488,2021,849,-100,202108,114.47688694907563,22.846025459335827,3
868,901,497,983,2422,2878,2752,3300,1613,598,10000,202109,114.47688694907563,22.846025459335827,3
939,934,589,1006,2225,2662,2501,2911,1554,637,20000,202110,114.47688694907563,22.846025459335827,3
858,781,488,849,1882,2185,2273,2503,1227,531,10000,202111,114.47688694907563,22.846025459335827,3
916,801,532,866,1686,2051,1979,2257,1209,544,40000,202112,114.47688694907563,22.846025459335827,3
