B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1003,1015,663,1272,2301,2798,2577,3000,2006,1164,30000,201609,114.37518009259526,22.698438625353933,6
1136,1074,764,1250,2375,2646,2392,2740,1870,1034,160000,201610,114.37518009259526,22.698438625353933,6
1177,1068,799,1259,2261,2491,2562,2858,1917,1077,150000,201611,114.37518009259526,22.698438625353933,6
1193,1037,750,1271,2414,2824,2535,3034,1737,944,170000,201612,114.37518009259526,22.698438625353933,6
1192,1040,787,1194,2296,2728,2276,2930,1792,959,170000,201701,114.37518009259526,22.698438625353933,6
1385,1206,939,1413,2587,3040,2697,3267,1844,1044,380000,201702,114.37518009259526,22.698438625353933,6
1275,1171,877,1461,2725,3150,2889,3357,1924,1114,-100,201703,114.37518009259526,22.698438625353933,6
1165,1137,815,1509,2863,3260,3081,3448,2005,1185,110000,201704,114.37518009259526,22.698438625353933,6
1327,1252,927,1353,2715,3288,3700,3781,2044,1029,280000,201705,114.37518009259526,22.698438625353933,6
1268,1148,756,1178,2464,3014,3266,3467,1593,757,-100,201706,114.37518009259526,22.698438625353933,6
1210,1045,585,1003,2214,2740,2832,3154,1142,485,110000,201707,114.37518009259526,22.698438625353933,6
1038,1123,697,1411,2705,3373,3758,3608,2176,1245,70000,201708,114.37518009259526,22.698438625353933,6
1085,1028,763,1191,2153,2571,2822,2829,1981,1077,80000,201709,114.37518009259526,22.698438625353933,6
1234,1122,788,1254,2419,2903,3050,3176,1839,943,220000,201710,114.37518009259526,22.698438625353933,6
1138,1055,679,1191,2695,3331,3154,3508,1807,905,150000,201711,114.37518009259526,22.698438625353933,6
1334,1163,861,1449,2609,2948,2794,3171,1774,1001,200000,201712,114.37518009259526,22.698438625353933,6
1096,966,660,1297,2438,2972,2866,3031,1748,1006,220000,201801,114.37518009259526,22.698438625353933,6
1503,1308,1053,1434,2436,2907,2551,3141,1899,1063,540000,201802,114.37518009259526,22.698438625353933,6
1113,1096,845,1394,2502,2763,2696,2972,1769,1062,140000,201803,114.37518009259526,22.698438625353933,6
1678,1523,1274,1574,2499,2959,2655,3145,2069,1143,620000,201804,114.37518009259526,22.698438625353933,6
1441,1373,1079,1518,2586,3146,3202,3310,2072,1144,-100,201805,114.37518009259526,22.698438625353933,6
