B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1343,1298,1083,1413,2480,2917,2511,3054,2400,1436,80000,201609,114.41918430171756,22.719604981382705,6
1248,1330,1034,1498,2478,2841,2475,3147,2349,1332,120000,201610,114.41918430171756,22.719604981382705,6
1254,1270,1004,1386,2026,2229,2099,2393,2158,1377,70000,201611,114.41918430171756,22.719604981382705,6
1343,1303,1062,1479,2341,2675,2376,3050,1941,1159,250000,201612,114.41918430171756,22.719604981382705,6
1293,1484,987,1617,3026,3714,3328,3793,2103,1165,190000,201701,114.41918430171756,22.719604981382705,6
1504,1492,1133,1692,2987,3234,3667,3600,2239,1414,660000,201702,114.41918430171756,22.719604981382705,6
1480,1489,1197,1727,2939,3297,3528,3551,2304,1472,-100,201703,114.41918430171756,22.719604981382705,6
1457,1487,1261,1762,2891,3361,3389,3502,2369,1531,350000,201704,114.41918430171756,22.719604981382705,6
1550,1361,1090,1222,2088,2386,2173,2605,1399,711,510000,201705,114.41918430171756,22.719604981382705,6
1488,1417,1256,1366,2227,2616,2194,2812,1668,866,-100,201706,114.41918430171756,22.719604981382705,6
1427,1474,1422,1511,2367,2847,2216,3020,1938,1021,200000,201707,114.41918430171756,22.719604981382705,6
1397,1482,1194,1549,2977,3570,2982,3685,2496,1496,160000,201708,114.41918430171756,22.719604981382705,6
1250,1234,1017,1306,2107,2580,2169,2716,2340,1399,50000,201709,114.41918430171756,22.719604981382705,6
1368,1428,1148,1553,2371,2800,2612,3004,2258,1369,160000,201710,114.41918430171756,22.719604981382705,6
1270,1372,990,1582,2893,3417,3331,3618,2162,1227,190000,201711,114.41918430171756,22.719604981382705,6
1438,1424,1095,1636,2824,3115,3176,3260,2037,1268,390000,201712,114.41918430171756,22.719604981382705,6
1365,1359,1114,1632,2670,3028,2773,3183,1947,1229,420000,201801,114.41918430171756,22.719604981382705,6
1589,1525,1333,1676,2703,3244,3048,3389,2398,1545,520000,201802,114.41918430171756,22.719604981382705,6
1356,1380,1174,1601,2508,2821,2602,2913,2129,1467,180000,201803,114.41918430171756,22.719604981382705,6
1652,1581,1275,1642,2556,3091,3053,3283,1941,1175,630000,201804,114.41918430171756,22.719604981382705,6
1319,1408,1216,1524,2848,3640,2839,3987,2487,1455,100000,201805,114.41918430171756,22.719604981382705,6
1472,1534,1433,1703,2973,3371,3015,3633,2606,1573,200000,201806,114.41918430171756,22.719604981382705,6
1356,1422,1131,1576,2897,3645,3073,3920,2514,1422,220000,201807,114.41918430171756,22.719604981382705,6
1397,1453,1310,1385,2381,2776,2398,2901,1960,1187,340000,201808,114.41918430171756,22.719604981382705,6
1648,1638,1624,1691,2429,2851,2400,3124,2486,1496,140000,201809,114.41918430171756,22.719604981382705,6
1217,1311,995,1508,2852,3357,3046,3521,2013,1158,180000,201810,114.41918430171756,22.719604981382705,6
1376,1467,1046,1680,2931,3428,3533,3674,2177,1286,410000,201811,114.41918430171756,22.719604981382705,6
1228,1206,936,1403,2474,2616,2606,2943,1799,1048,150000,201812,114.41918430171756,22.719604981382705,6
1506,1469,1243,1734,2824,3202,3066,3397,2339,1527,600000,201901,114.41918430171756,22.719604981382705,6
1559,1476,1303,1669,2539,2836,2657,3050,2299,1496,-100,201902,114.41918430171756,22.719604981382705,6
1612,1484,1363,1605,2255,2471,2249,2703,2260,1465,530000,201903,114.41918430171756,22.719604981382705,3
1411,1352,1104,1504,2679,3127,2873,3407,2336,1344,-100,201904,114.41918430171756,22.719604981382705,3
1210,1220,846,1404,3104,3783,3497,4111,2412,1223,190000,201905,114.41918430171756,22.719604981382705,3
983,995,594,1114,3174,3906,3845,4220,1903,801,30000,201906,114.41918430171756,22.719604981382705,3
1266,1305,832,1477,3706,4586,4363,5341,2466,1044,360000,201907,114.41918430171756,22.719604981382705,3
1311,1253,861,1292,3138,3965,3679,4460,2334,956,350000,201908,114.41918430171756,22.719604981382705,3
952,1062,570,1293,3918,4747,4509,5119,1832,746,40000,201909,114.41918430171756,22.719604981382705,3
1214,1291,745,1418,3857,4661,4365,4955,1930,765,360000,201910,114.41918430171756,22.719604981382705,3
1325,1285,847,1444,3627,4193,4213,4625,1782,779,340000,201911,114.41918430171756,22.719604981382705,3
1076,1129,709,1290,3191,3820,3788,4105,1538,651,90000,201912,114.41918430171756,22.719604981382705,3
995,913,615,1109,2713,3267,3363,3527,1631,745,100000,202001,114.41918430171756,22.719604981382705,3
1242,1115,808,1187,2321,2839,2642,3056,1860,946,200000,202002,114.41918430171756,22.719604981382705,3
1131,1035,718,1138,2666,3113,3151,3481,1729,793,120000,202003,114.41918430171756,22.719604981382705,3
969,1037,632,1202,3537,4128,3865,4373,1874,813,60000,202004,114.41918430171756,22.719604981382705,3
1336,1340,1007,1360,2856,3643,3286,3973,1821,864,390000,202005,114.41918430171756,22.719604981382705,3
1051,1149,671,1240,3602,4534,4273,4872,1948,827,40000,202006,114.41918430171756,22.719604981382705,3
1041,1119,660,1186,3271,4066,3807,4328,1719,741,50000,202007,114.41918430171756,22.719604981382705,3
1047,1261,629,1409,4140,5360,4809,5778,2189,837,110000,202008,114.41918430171756,22.719604981382705,3
1088,871,568,668,1361,1719,1485,1761,473,142,240000,202009,114.41918430171756,22.719604981382705,3
973,1097,603,1213,3501,4366,4116,4819,1757,667,60000,202010,114.41918430171756,22.719604981382705,3
1127,1151,742,1397,3374,3947,3743,4297,1759,761,160000,202011,114.41918430171756,22.719604981382705,3
1136,1091,806,1212,2247,2635,2478,2883,1580,729,90000,202012,114.41918430171756,22.719604981382705,3
1124,945,800,1093,1741,1912,1733,2137,1878,998,40000,202101,114.41918430171756,22.719604981382705,3
1055,907,974,1043,1261,1477,1505,1777,2341,1315,20000,202102,114.41918430171756,22.719604981382705,3
1373,1158,1104,1140,1404,1581,1447,1712,2383,1579,150000,202103,114.41918430171756,22.719604981382705,3
1216,1210,901,1351,2654,3259,2819,3419,2428,1232,130000,202104,114.41918430171756,22.719604981382705,3
1077,1097,873,1300,2607,3139,2700,3488,2290,1110,50000,202105,114.41918430171756,22.719604981382705,3
1023,1101,615,1125,2809,3348,3051,3554,1756,693,40000,202106,114.41918430171756,22.719604981382705,3
968,1134,524,1318,4108,5096,4365,5447,2030,709,80000,202107,114.41918430171756,22.719604981382705,3
1083,1161,626,1230,3817,4861,4448,5322,2086,772,170000,202108,114.41918430171756,22.719604981382705,3
1166,1141,693,1157,3247,4359,3951,4774,1957,767,220000,202109,114.41918430171756,22.719604981382705,3
935,993,538,1126,3150,3880,3686,4255,1761,692,20000,202110,114.41918430171756,22.719604981382705,3
946,982,535,1138,3278,3862,3806,4168,1664,714,40000,202111,114.41918430171756,22.719604981382705,3
1013,993,687,1229,2420,2785,2792,3096,1646,755,50000,202112,114.41918430171756,22.719604981382705,3
