B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
972,975,713,1073,2261,2673,2514,2916,1844,886,20000,201609,114.4404714883277,22.858505511729923,6
1141,1135,893,1146,2357,2913,2326,3055,1757,830,100000,201610,114.4404714883277,22.858505511729923,6
1203,1196,929,1366,2543,2977,2828,3210,2256,1228,140000,201611,114.4404714883277,22.858505511729923,6
1181,1106,819,1251,2272,2636,2517,2805,1679,819,110000,201612,114.4404714883277,22.858505511729923,6
1190,1161,912,1226,2621,3114,2738,3358,1595,741,190000,201701,114.4404714883277,22.858505511729923,6
1337,1231,958,1346,2738,3278,3150,3499,1981,1115,350000,201702,114.4404714883277,22.858505511729923,6
1220,1191,855,1361,3173,3789,3688,3996,2001,1069,-100,201703,114.4404714883277,22.858505511729923,6
1104,1151,753,1377,3609,4300,4226,4494,2021,1024,150000,201704,114.4404714883277,22.858505511729923,6
1445,1345,1052,1266,2268,2746,2399,2899,2266,1552,310000,201705,114.4404714883277,22.858505511729923,6
1560,1507,1322,1511,2527,3034,2541,3260,2268,2245,-100,201706,114.4404714883277,22.858505511729923,6
1675,1669,1593,1756,2786,3322,2683,3621,2271,2939,-100,201707,114.4404714883277,22.858505511729923,6
1790,1832,1864,2001,3045,3610,2826,3983,2274,3633,290000,201708,114.4404714883277,22.858505511729923,6
1199,1316,1254,1423,2242,2680,2476,2932,2582,1491,20000,201709,114.4404714883277,22.858505511729923,6
1210,1219,995,1290,2492,3104,2688,3342,2058,1048,180000,201710,114.4404714883277,22.858505511729923,6
1323,1468,1477,1733,2616,3060,2859,3306,2886,1768,70000,201711,114.4404714883277,22.858505511729923,6
1366,1381,1212,1588,2744,3134,2934,3312,2443,1491,340000,201712,114.4404714883277,22.858505511729923,6
1298,1358,1229,1744,2838,3205,3106,3381,2521,1587,260000,201801,114.4404714883277,22.858505511729923,6
1418,1344,1157,1472,2540,3025,2725,3191,2176,1175,470000,201802,114.4404714883277,22.858505511729923,6
1214,1364,1230,1786,2621,2963,2994,3122,2752,1800,70000,201803,114.4404714883277,22.858505511729923,6
1618,1479,1224,1537,2500,3033,2970,3317,2335,1297,600000,201804,114.4404714883277,22.858505511729923,6
1327,1435,1209,1671,3164,4034,3667,4329,3227,1779,100000,201805,114.4404714883277,22.858505511729923,6
1180,1232,924,1404,2856,3537,3246,3736,1967,935,140000,201806,114.4404714883277,22.858505511729923,6
1290,1463,1368,1554,2858,3437,3214,3652,3105,1852,50000,201807,114.4404714883277,22.858505511729923,6
1038,1102,902,1245,2434,2795,2536,3066,2113,1051,20000,201808,114.4404714883277,22.858505511729923,6
1187,1296,1078,1448,2414,2950,2810,3211,2438,1247,80000,201809,114.4404714883277,22.858505511729923,6
1091,1148,829,1285,2656,3089,3068,3337,2134,1200,60000,201810,114.4404714883277,22.858505511729923,6
1256,1229,920,1339,2722,3282,3052,3405,2186,1167,180000,201811,114.4404714883277,22.858505511729923,6
993,1005,675,1113,2414,2839,2770,2968,1504,695,30000,201812,114.4404714883277,22.858505511729923,6
1361,1283,1032,1446,2407,2657,2478,2887,2151,1245,270000,201901,114.4404714883277,22.858505511729923,6
1132,1107,819,1191,2596,3076,2653,3322,1864,869,150000,201902,114.4404714883277,22.858505511729923,6
1465,1355,1036,1397,2522,2995,2863,3192,2000,1028,410000,201903,114.4404714883277,22.858505511729923,6
1369,1369,1046,1528,2701,3206,3014,3470,2355,1267,-100,201904,114.4404714883277,22.858505511729923,6
1274,1384,1057,1659,2880,3417,3165,3748,2711,1506,100000,201905,114.4404714883277,22.858505511729923,6
1120,1161,958,1340,2577,2955,2580,3166,1939,942,140000,201906,114.4404714883277,22.858505511729923,6
1185,1293,1190,1473,2577,2924,2663,3151,2273,1266,-100,201907,114.4404714883277,22.858505511729923,6
1250,1425,1422,1606,2578,2893,2747,3136,2608,1590,-100,201908,114.4404714883277,22.858505511729923,6
1316,1558,1655,1739,2579,2863,2831,3122,2943,1915,10000,201909,114.4404714883277,22.858505511729923,6
1329,1350,1287,1561,2471,2918,2546,3027,2504,1412,110000,201910,114.4404714883277,22.858505511729923,6
1266,1246,1002,1489,2669,3124,3019,3284,2480,1396,220000,201911,114.4404714883277,22.858505511729923,6
1117,1155,1032,1242,2225,2575,2278,2718,1939,1035,50000,201912,114.4404714883277,22.858505511729923,6
1065,1122,832,1359,3028,3479,3448,3655,2021,1192,80000,202001,114.4404714883277,22.858505511729923,6
1447,1513,1500,1679,2624,3154,2877,3370,2546,1595,410000,202002,114.4404714883277,22.858505511729923,6
1163,1151,873,1216,2940,3577,3449,3864,2036,1066,100000,202003,114.4404714883277,22.858505511729923,6
1081,1123,941,1328,2802,3211,2693,3534,2316,1176,60000,202004,114.4404714883277,22.858505511729923,6
1302,1245,1071,1188,1921,2280,1969,2429,1442,782,220000,202005,114.4404714883277,22.858505511729923,6
1194,1182,948,1201,2360,2894,2509,3117,1891,977,-100,202006,114.4404714883277,22.858505511729923,6
1087,1120,826,1215,2800,3508,3050,3805,2340,1173,20000,202007,114.4404714883277,22.858505511729923,6
1331,1490,1292,1787,3085,3822,3433,4132,2931,1729,70000,202008,114.4404714883277,22.858505511729923,6
1207,1184,900,1197,2495,3116,2651,3430,1969,868,180000,202009,114.4404714883277,22.858505511729923,6
1227,1428,1482,1602,2432,2996,2751,3099,2810,1663,10000,202010,114.4404714883277,22.858505511729923,4
1538,1842,2163,2404,2804,3049,3070,3219,3977,2824,40000,202011,114.4404714883277,22.858505511729923,4
1515,1722,2359,2582,3114,3458,3217,3517,4330,2589,40000,202012,114.4404714883277,22.858505511729923,4
1510,1714,2668,3260,3620,3696,3170,3600,4613,2731,30000,202101,114.4404714883277,22.858505511729923,4
1627,1940,2862,2851,3336,3523,3390,3574,3795,2611,20000,202102,114.4404714883277,22.858505511729923,4
1741,1969,2600,2604,3091,3473,3353,3631,4133,2919,180000,202103,114.4404714883277,22.858505511729923,4
1734,2075,3071,3075,3552,3869,3481,3997,4229,3096,80000,202104,114.4404714883277,22.858505511729923,4
1670,1696,2135,2056,2333,2638,2662,2834,2126,1302,100000,202105,114.4404714883277,22.858505511729923,4
1995,2155,2665,2575,2901,3256,3075,3514,3582,3193,-100,202106,114.4404714883277,22.858505511729923,4
2321,2615,3195,3095,3469,3875,3489,4195,5039,5084,60000,202107,114.4404714883277,22.858505511729923,4
2071,2303,2790,2645,3084,3508,3177,3793,4209,3720,-100,202108,114.4404714883277,22.858505511729923,4
1822,1991,2385,2196,2700,3141,2866,3391,3380,2357,230000,202109,114.4404714883277,22.858505511729923,4
1741,2012,2361,2284,2337,2768,2667,2992,3111,2381,50000,202110,114.4404714883277,22.858505511729923,4
1577,1652,2024,1944,2060,2459,2289,2784,2844,2089,90000,202111,114.4404714883277,22.858505511729923,4
1621,1611,2087,2042,2123,2377,2353,2600,2804,2161,30000,202112,114.4404714883277,22.858505511729923,4
