B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1342,1512,2087,2250,2685,2952,2482,3033,3449,1849,100000,201609,114.4305790922675,22.84150524587212,4
1630,1875,2672,2768,3318,3723,3259,3826,4105,2289,390000,201610,114.4305790922675,22.84150524587212,4
1717,1893,2577,2677,3222,3578,3197,3636,4443,2666,340000,201611,114.4305790922675,22.84150524587212,4
1759,1928,2554,2633,2973,3290,2894,3341,4127,2580,150000,201612,114.4305790922675,22.84150524587212,4
1643,1850,2421,2601,2938,3196,2718,3391,4172,2587,240000,201701,114.4305790922675,22.84150524587212,4
1802,1918,2533,2755,3177,3477,3211,3612,4744,3174,250000,201702,114.4305790922675,22.84150524587212,4
1691,1832,2464,2734,3089,3306,3022,3349,4207,2780,-100,201703,114.4305790922675,22.84150524587212,4
1580,1746,2396,2713,3002,3135,2834,3086,3671,2387,40000,201704,114.4305790922675,22.84150524587212,4
2580,2540,2678,2792,3687,4114,3627,4430,4898,4013,220000,201705,114.4305790922675,22.84150524587212,4
2784,2776,2943,3002,3607,4076,3652,4249,5643,5290,-100,201706,114.4305790922675,22.84150524587212,5
2988,3013,3208,3212,3528,4038,3677,4069,6389,6568,-100,201707,114.4305790922675,22.84150524587212,5
3192,3250,3473,3423,3449,4001,3703,3889,7135,7846,10000,201708,114.4305790922675,22.84150524587212,5
2965,3098,3326,2900,3275,3347,2920,3015,4915,4653,20000,201709,114.4305790922675,22.84150524587212,5
3323,3600,4000,3803,4024,4713,4152,4609,4561,3627,450000,201710,114.4305790922675,22.84150524587212,5
3716,4006,4524,4572,4442,4869,4476,4765,4754,3815,380000,201711,114.4305790922675,22.84150524587212,5
2757,2950,2953,3857,4054,3852,3399,3986,3965,3488,130000,201712,114.4305790922675,22.84150524587212,5
3159,3648,3608,3786,4412,3953,3724,4398,3932,3479,670000,201801,114.4305790922675,22.84150524587212,5
2546,2737,2862,3194,3551,4034,3136,3751,3982,3578,410000,201802,114.4305790922675,22.84150524587212,5
