B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1588,1795,2461,2580,2738,2975,2738,3049,4253,2969,70000,201609,114.26004891809684,22.62310420384919,4
1690,1888,2582,2554,2970,3119,2886,3163,4454,3075,30000,201610,114.26004891809684,22.62310420384919,4
1666,1835,2358,2433,2864,2982,2703,3091,4267,3195,40000,201611,114.26004891809684,22.62310420384919,4
1790,1936,2499,2590,2931,3039,2786,3081,4254,3152,30000,201612,114.26004891809684,22.62310420384919,4
1855,2116,2812,2882,3105,3367,2996,3340,4579,3384,30000,201701,114.26004891809684,22.62310420384919,4
1724,1819,2323,2531,2748,3034,2812,3088,4201,3425,50000,201702,114.26004891809684,22.62310420384919,4
1616,1701,2174,2406,2613,2868,2674,2914,3975,3174,-100,201703,114.26004891809684,22.62310420384919,4
1509,1583,2026,2282,2479,2703,2537,2741,3750,2923,20000,201704,114.26004891809684,22.62310420384919,4
1301,1251,1333,1470,1863,2078,1639,2020,2197,1443,230000,201705,114.26004891809684,22.62310420384919,4
1478,1547,1940,2086,2430,2709,2184,2707,3268,2180,-100,201706,114.26004891809684,22.62310420384919,4
1656,1844,2548,2702,2997,3341,2730,3394,4340,2918,50000,201707,114.26004891809684,22.62310420384919,4
1718,1882,2527,2602,3009,3362,3048,3478,4769,3320,40000,201708,114.26004891809684,22.62310420384919,4
1472,1631,2129,2127,2400,2735,2448,2953,3768,2894,10000,201709,114.26004891809684,22.62310420384919,4
1059,850,629,576,520,560,475,494,185,95,30000,201710,114.26004891809684,22.62310420384919,1
990,866,667,541,357,393,316,323,145,90,0,201711,114.26004891809684,22.62310420384919,1
1255,1225,1555,1736,1738,1935,1598,1816,1796,1134,50000,201712,114.26004891809684,22.62310420384919,1
1331,1325,1681,1807,1923,2013,1970,2010,2170,1545,160000,201801,114.26004891809684,22.62310420384919,1
1074,866,459,417,439,446,371,387,137,85,20000,201802,114.26004891809684,22.62310420384919,1
1373,1327,839,690,659,674,585,586,272,155,60000,201803,114.26004891809684,22.62310420384919,1
1645,1441,1003,961,1147,1240,1075,1159,415,242,480000,201804,114.26004891809684,22.62310420384919,1
1515,1499,953,835,874,943,819,870,344,207,-100,201805,114.26004891809684,22.62310420384919,1
1386,1557,903,709,601,646,563,581,273,173,10000,201806,114.26004891809684,22.62310420384919,1
1267,1209,619,496,506,554,427,462,195,97,10000,201807,114.26004891809684,22.62310420384919,1
1222,1172,615,495,485,525,415,449,183,95,-100,201808,114.26004891809684,22.62310420384919,1
1178,1135,612,494,465,497,403,436,172,94,10000,201809,114.26004891809684,22.62310420384919,1
