B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1353,1453,1613,1780,2300,2572,2477,2766,2874,1731,40000,201609,114.2998747883154,22.578720057394097,4
1323,1333,1409,1621,1949,2201,2042,2337,2353,1432,-100,201610,114.2998747883154,22.578720057394097,4
1293,1214,1206,1462,1598,1830,1608,1908,1833,1134,280000,201611,114.2998747883154,22.578720057394097,4
1892,2327,3034,3086,3413,3726,3355,3963,5057,3559,70000,201612,114.2998747883154,22.578720057394097,4
1845,2257,2983,3062,3513,3862,3313,4093,5096,3565,160000,201701,114.2998747883154,22.578720057394097,4
2007,2273,2887,3009,3348,3643,3532,3831,5433,4077,170000,201702,114.2998747883154,22.578720057394097,4
2100,1963,2036,2039,2277,2473,2339,2712,4334,3536,170000,201703,114.2998747883154,22.578720057394097,4
1656,1950,2549,2624,2919,3076,3019,3125,4134,2892,50000,201704,114.2998747883154,22.578720057394097,4
1696,1717,1913,1918,2010,2235,1907,2200,1984,1071,120000,201705,114.2998747883154,22.578720057394097,4
1746,1924,2115,2154,2104,2434,2002,2285,1555,847,-100,201706,114.2998747883154,22.578720057394097,4
1796,2132,2318,2390,2198,2633,2097,2370,1126,624,60000,201707,114.2998747883154,22.578720057394097,4
1824,2139,2768,2737,3069,3434,3078,3648,5224,3776,120000,201708,114.2998747883154,22.578720057394097,4
1515,1652,2020,2134,2341,2634,2229,2693,3409,2260,80000,201709,114.2998747883154,22.578720057394097,4
1661,1757,2082,1988,2172,2371,2212,2478,3351,2242,170000,201710,114.2998747883154,22.578720057394097,4
1918,2071,2517,2424,2552,2847,2740,2949,3810,2642,230000,201711,114.2998747883154,22.578720057394097,4
2024,2296,2942,3138,3360,3622,3384,3777,5223,4193,60000,201712,114.2998747883154,22.578720057394097,4
1442,1616,2044,2190,2309,2392,2268,2407,2554,1663,70000,201801,114.2998747883154,22.578720057394097,4
1962,2288,2955,2671,2918,3209,3225,3382,4792,3489,200000,201802,114.2998747883154,22.578720057394097,4
1779,2140,2741,2736,2969,3158,3091,3221,4311,3304,20000,201803,114.2998747883154,22.578720057394097,4
1878,2006,2457,2482,2733,3131,2930,3332,5068,3970,150000,201804,114.2998747883154,22.578720057394097,4
