B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,QA,Date,lon,lat,label
1468,1653,1850,2029,2623,2943,2737,3201,3427,2264,30000,201609,114.29450824719856,22.57671411244604,4
1577,1763,1996,2111,2627,2922,2684,3198,3661,2464,-100,201610,114.29450824719856,22.57671411244604,4
1687,1874,2142,2194,2632,2902,2631,3196,3895,2665,270000,201611,114.29450824719856,22.57671411244604,4
1807,2039,2460,2313,2774,3084,2924,3330,3922,2609,80000,201612,114.29450824719856,22.57671411244604,4
1834,2048,2439,2209,2710,2952,2887,3250,3943,2720,240000,201701,114.29450824719856,22.57671411244604,4
1804,1877,2111,2145,2448,2602,2660,2892,3906,3004,170000,201702,114.29450824719856,22.57671411244604,4
2059,1867,1795,1790,1993,2170,1979,2313,3232,2504,500000,201703,114.29450824719856,22.57671411244604,4
1424,1468,1484,1777,2167,2361,2306,2510,3226,2308,50000,201704,114.29450824719856,22.57671411244604,4
1545,1416,1277,1462,1858,2081,1928,2179,1848,1039,610000,201705,114.29450824719856,22.57671411244604,4
1402,1395,1315,1582,2211,2492,2223,2669,2155,1170,-100,201706,114.29450824719856,22.57671411244604,4
1259,1375,1354,1702,2564,2904,2518,3159,2462,1301,220000,201707,114.29450824719856,22.57671411244604,4
1232,1272,1124,1666,2544,3037,2670,3369,2810,1616,110000,201708,114.29450824719856,22.57671411244604,4
1207,1151,971,1437,2014,2432,2076,2737,2688,1719,170000,201709,114.29450824719856,22.57671411244604,4
1931,2150,2738,2687,2918,3307,3076,3395,4586,3543,40000,201710,114.29450824719856,22.57671411244604,4
1537,1630,1907,2142,2230,2497,2089,2645,3645,2703,140000,201711,114.29450824719856,22.57671411244604,4
2197,2514,3219,3154,3357,3603,3642,3754,5080,3999,70000,201712,114.29450824719856,22.57671411244604,4
1640,1767,2163,2359,2491,2622,2427,2654,3336,2448,80000,201801,114.29450824719856,22.57671411244604,4
1917,2157,2756,2783,3039,3282,3036,3469,4902,3637,220000,201802,114.29450824719856,22.57671411244604,4
1641,1905,2454,2594,2789,2980,2844,3071,4337,3341,10000,201803,114.29450824719856,22.57671411244604,4
